,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,NonComm_Pos,NonComm_Diff,NonComm_Signal1,Comm_Pos,Comm_Diff,Comm_Signal1
0,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-04-05,05.04.2011,064363,ICE,1,64,186525,24664,3014,23766,136442,158763,184872,185543,1653,982,186525,24664,3014,23766,136442,158763,184872,185543,1653,982,0,0,0,0,0,0,0,0,0,0,9105.0,2921.0,572.0,632.0,5453.0,7176.0,9006.0,8380.0,99.0,725.0,100,13.2,1.6,12.7,73.1,85.1,99.1,99.5,0.9,0.5,100,13.2,1.6,12.7,73.1,85.1,99.1,99.5,0.9,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,16,5,15,56,51,76,67,81,16,5,15,56,51,76,67,0,0,0,0,0,0,0,0,28.2,41.9,45.0,60.8,19.0,37.4,31.6,47.4,28.2,41.9,45.0,60.8,19.0,37.4,31.6,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(Contracts of 800 MWh),21650,0.782209697232,SHORT,-22321,-0.0756118629427,LONG
1,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-04-12,12.04.2011,064391,IFED,1,64,54009,1552,338,1439,51018,52232,54009,54009,0,0,54009,1552,338,1439,51018,52232,54009,54009,0,0,0,0,0,0,0,0,0,0,0,0,852.0,238.0,27.0,2.0,612.0,823.0,852.0,852.0,0.0,0.0,100,2.9,0.6,2.7,94.5,96.7,100.0,100.0,0.0,0.0,100,2.9,0.6,2.7,94.5,96.7,100.0,100.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,2,4,4,27,29,32,34,39,2,4,4,27,29,32,34,0,0,0,0,0,0,0,0,52.0,48.4,79.4,69.2,45.4,34.9,57.9,49.6,52.0,48.4,79.4,69.2,45.4,34.9,57.9,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(Contracts of 400 MWh),1214,0.642328042328,SHORT,-1214,-0.0117578692494,LONG
2,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-04-19,19.04.2011,064392,IFED,1,64,413031,33742,328,26279,353010,386424,413031,413031,0,0,413031,33742,328,26279,353010,386424,413031,413031,0,0,0,0,0,0,0,0,0,0,0,0,-976.0,-992.0,-664.0,992.0,-976.0,-1304.0,-976.0,-976.0,0.0,0.0,100,8.2,0.1,6.4,85.5,93.6,100.0,100.0,0.0,0.0,100,8.2,0.1,6.4,85.5,93.6,100.0,100.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,6,1,2,22,22,28,25,34,6,1,2,22,22,28,25,0,0,0,0,0,0,0,0,58.4,59.3,81.2,81.7,46.0,51.3,65.7,68.4,58.4,59.3,81.2,81.7,46.0,51.3,65.7,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(Contracts of 25 MWh),33414,0.980745523921,SHORT,-33414,-0.0451886172397,LONG
3,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-05-24,24.05.2011,064396,ICE,1,64,466764,609,20888,1648,462603,442324,464860,464860,1904,1904,466764,609,20888,1648,462603,442324,464860,464860,1904,1904,0,0,0,0,0,0,0,0,0,0,-16542.0,-2911.0,-11794.0,1320.0,-16855.0,-7972.0,-18446.0,-18446.0,1904.0,1904.0,100,0.1,4.5,0.4,99.1,94.8,99.6,99.6,0.4,0.4,100,0.1,4.5,0.4,99.1,94.8,99.6,99.6,0.4,0.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1,3,1,23,22,24,26,33,1,3,1,23,22,24,26,0,0,0,0,0,0,0,0,59.1,60.4,83.1,83.5,37.5,50.3,51.9,57.1,59.1,60.4,83.1,83.5,37.5,50.3,51.9,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(Contracts of 25 Megawatt Hours),-20279,-0.943340931293,LONG,20279,0.0224095424272,SHORT
4,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-05-31,31.05.2011,06439B,IFED,1,64,53071,4455,212,2120,46118,49274,52693,51606,378,1465,53071,4455,212,2120,46118,49274,52693,51606,378,1465,0,0,0,0,0,0,0,0,0,0,110.0,-533.0,42.0,126.0,496.0,-79.0,89.0,89.0,21.0,21.0,100,8.4,0.4,4.0,86.9,92.8,99.3,97.2,0.7,2.8,100,8.4,0.4,4.0,86.9,92.8,99.3,97.2,0.7,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,5,1,3,30,31,36,34,42,5,1,3,30,31,36,34,0,0,0,0,0,0,0,0,48.0,49.3,69.8,68.9,46.8,42.9,59.6,54.4,48.0,49.3,69.8,68.9,46.8,42.9,59.6,54.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800MWh,4243,0.909149346475,SHORT,-3156,-0.0330845353908,LONG
5,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-06-14,14.06.2011,06439K,IFED,1,64,757240,3920,0,0,753320,757240,757240,757240,0,0,757240,3920,0,0,753320,757240,757240,757240,0,0,0,0,0,0,0,0,0,0,0,0,23520.0,0.0,0.0,0.0,23520.0,23520.0,23520.0,23520.0,0.0,0.0,100,0.5,0.0,0.0,99.5,100.0,100.0,100.0,0.0,0.0,100,0.5,0.0,0.0,99.5,100.0,100.0,100.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1,0,0,17,11,18,11,24,1,0,0,17,11,18,11,0,0,0,0,0,0,0,0,62.9,77.8,88.6,96.9,61.6,77.8,82.2,89.7,62.9,77.8,88.6,96.9,61.6,77.8,82.2,89.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800MWh,3920,1.0,SHORT,-3920,-0.00259506408219,LONG
6,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-06-21,21.06.2011,06439R,IFED,1,64,11436,1918,1086,299,8956,9923,11173,11308,263,128,11436,1918,1086,299,8956,9923,11173,11308,263,128,0,0,0,0,0,0,0,0,0,0,193.0,63.0,0.0,-42.0,128.0,193.0,149.0,151.0,44.0,42.0,100,16.8,9.5,2.6,78.3,86.8,97.7,98.9,2.3,1.1,100,16.8,9.5,2.6,78.3,86.8,97.7,98.9,2.3,1.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,4,2,2,16,18,21,21,29,4,2,2,16,18,21,21,0,0,0,0,0,0,0,0,44.4,53.1,73.9,77.0,41.3,47.9,64.7,69.0,44.4,53.1,73.9,77.0,41.3,47.9,64.7,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800 Mwh,832,0.276964047936,SHORT,-967,-0.0512209333121,LONG
7,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-06-28,28.06.2011,0643AZ,IFED,1,64,19120,0,210,0,18880,18910,18880,19120,240,0,19120,0,210,0,18880,18910,18880,19120,240,0,0,0,0,0,0,0,0,0,0,0,950.0,0.0,-100.0,0.0,950.0,1050.0,950.0,950.0,0.0,0.0,100,0.0,1.1,0.0,98.7,98.9,98.7,100.0,1.3,0.0,100,0.0,1.1,0.0,98.7,98.9,98.7,100.0,1.3,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,1,0,22,22,22,23,35,0,1,0,22,22,22,23,0,0,0,0,0,0,0,0,56.7,64.0,76.6,79.4,53.6,55.8,73.4,70.7,56.7,64.0,76.6,79.4,53.6,55.8,73.4,70.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1 MW,-210,-1.0,LONG,-30,-0.000793860809738,LONG
8,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-07-05,05.07.2011,0643B1,IFED,1,64,210320,3650,0,0,206670,210320,210320,210320,0,0,210320,3650,0,0,206670,210320,210320,210320,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,1.7,0.0,0.0,98.3,100.0,100.0,100.0,0.0,0.0,100,1.7,0.0,0.0,98.3,100.0,100.0,100.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0,0,26,23,27,23,30,1,0,0,26,23,27,23,0,0,0,0,0,0,0,0,52.0,54.8,73.6,79.7,45.0,33.5,56.1,51.5,52.0,54.8,73.6,79.7,45.0,33.5,56.1,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16 MWH PER LOT,3650,1.0,SHORT,-3650,-0.00875320751097,LONG
9,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-07-12,12.07.2011,0643B9,IFED,1,64,35798,0,5786,1749,33884,28133,35633,35668,165,130,35798,0,5786,1749,33884,28133,35633,35668,165,130,0,0,0,0,0,0,0,0,0,0,185.0,0.0,155.0,-45.0,200.0,75.0,155.0,185.0,30.0,0.0,100,0.0,16.2,4.9,94.7,78.6,99.5,99.6,0.5,0.4,100,0.0,16.2,4.9,94.7,78.6,99.5,99.6,0.5,0.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,6,3,32,29,35,35,43,0,6,3,32,29,35,35,0,0,0,0,0,0,0,0,35.8,46.9,55.7,66.5,33.5,34.0,49.2,50.2,35.8,46.9,55.7,66.5,33.5,34.0,49.2,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1 MW,-5786,-1.0,LONG,5751,0.0927326378251,SHORT
