,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,NonComm_Pos,NonComm_Diff,NonComm_Signal1,Comm_Pos,Comm_Diff,Comm_Signal1
0,BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE,2011-10-18,18.10.2011,0643D5,IFED,1,64,678879,0,0,0,678879,678879,678879,678879,0,0,678879,0,0,0,678879,678879,678879,678879,0,0,0,0,0,0,0,0,0,0,0,0,51656.0,0.0,0.0,0.0,51656.0,51656.0,51656.0,51656.0,0.0,0.0,100,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,19,12,19,12,23,0,0,0,19,12,19,12,0,0,0,0,0,0,0,0,55.9,75.4,75.6,93.7,54.5,67.3,72.1,82.8,55.9,75.4,75.6,93.7,54.5,67.3,72.1,82.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5 MWh,0,,LONG,0,0.0,LONG
1,BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE,2011-10-25,25.10.2011,0643D8,IFED,1,64,523285,0,0,0,523285,523285,523285,523285,0,0,523285,0,0,0,523285,523285,523285,523285,0,0,0,0,0,0,0,0,0,0,0,0,12700.0,0.0,0.0,0.0,12700.0,12700.0,12700.0,12700.0,0.0,0.0,100,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,22,9,22,9,26,0,0,0,22,9,22,9,0,0,0,0,0,0,0,0,70.7,95.9,84.5,99.9,67.8,93.2,81.1,93.9,70.7,95.9,84.5,99.9,67.8,93.2,81.1,93.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16 MWh,0,,LONG,0,0.0,LONG
2,BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE,2011-11-01,01.11.2011,0643DC,IFED,1,64,140886,4100,655,325,136460,139906,140885,140886,1,0,140886,4100,655,325,136460,139906,140885,140886,1,0,0,0,0,0,0,0,0,0,0,0,1810.0,125.0,175.0,75.0,1610.0,1560.0,1810.0,1810.0,0.0,0.0,100,2.9,0.5,0.2,96.9,99.3,100.0,100.0,0.0,0.0,100,2.9,0.5,0.2,96.9,99.3,100.0,100.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,5,2,2,42,36,47,40,55,5,2,2,42,36,47,40,0,0,0,0,0,0,0,0,43.2,64.7,61.5,83.6,37.0,60.6,55.3,74.3,43.2,64.7,61.5,83.6,37.0,60.6,55.3,74.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1 MW,3445,0.724500525762,SHORT,-3446,-0.0124689723048,LONG
3,BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE,2011-11-08,08.11.2011,0643DF,IFED,1,64,2840651,580585,359261,96455,2163611,2384935,2840651,2840651,0,0,2840651,580585,359261,96455,2163611,2384935,2840651,2840651,0,0,0,0,0,0,0,0,0,0,0,0,3430.0,-10782.0,0.0,6400.0,7812.0,-2970.0,3430.0,3430.0,0.0,0.0,100,20.4,12.6,3.4,76.2,84.0,100.0,100.0,0.0,0.0,100,20.4,12.6,3.4,76.2,84.0,100.0,100.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,5,8,5,45,40,53,50,62,5,8,5,45,40,53,50,0,0,0,0,0,0,0,0,45.5,52.5,62.0,69.2,45.5,48.9,60.4,64.3,45.5,52.5,62.0,69.2,45.5,48.9,60.4,64.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16 MWh,221324,0.235489644048,SHORT,-221324,-0.0486581865941,LONG
4,BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE,2011-11-15,15.11.2011,0643DL,IFED,1,64,569605,0,14375,0,569605,555230,569605,569605,0,0,569605,0,14375,0,569605,555230,569605,569605,0,0,0,0,0,0,0,0,0,0,0,0,-36762.0,-5670.0,-3150.0,0.0,-31092.0,-31407.0,-36762.0,-34557.0,0.0,-2205.0,100,0.0,2.5,0.0,100.0,97.5,100.0,100.0,0.0,0.0,100,0.0,2.5,0.0,100.0,97.5,100.0,100.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,2,0,29,14,29,16,32,0,2,0,29,14,29,16,0,0,0,0,0,0,0,0,48.6,79.3,68.9,93.8,47.3,72.3,67.3,82.8,48.6,79.3,68.9,93.8,47.3,72.3,67.3,82.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16 MWh,-14375,-1.0,LONG,14375,0.0127796521268,SHORT
5,BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE,2012-01-31,31.01.2012,06465M,NYME,1,64,27145,2222,2800,314,22095,22385,24631,25499,2514,1646,27145,2222,2800,314,22095,22385,24631,25499,2514,1646,0,0,0,0,0,0,0,0,0,0,544.0,512.0,0.0,0.0,114.0,690.0,626.0,690.0,-82.0,-146.0,100,8.2,10.3,1.2,81.4,82.5,90.7,93.9,9.3,6.1,100,8.2,10.3,1.2,81.4,82.5,90.7,93.9,9.3,6.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,1,2,21,19,24,22,25,3,1,2,21,19,24,22,0,0,0,0,0,0,0,0,39.9,56.4,58.2,77.6,21.4,49.4,35.9,53.9,39.9,56.4,58.2,77.6,21.4,49.4,35.9,53.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(2.5 MEGAWATTS PER OFF PEAK HRS),-578,-0.115093588212,LONG,-290,-0.00651978417266,LONG
6,BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE,2012-02-14,14.02.2012,06465N,NYME,1,64,8917,1134,0,176,6104,6641,7414,6817,1503,2100,8917,1134,0,176,6104,6641,7414,6817,1503,2100,0,0,0,0,0,0,0,0,0,0,40.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0,0.0,0.0,100,12.7,0.0,2.0,68.5,74.5,83.1,76.4,16.9,23.6,100,12.7,0.0,2.0,68.5,74.5,83.1,76.4,16.9,23.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,0,1,17,16,18,17,21,1,0,1,17,16,18,17,0,0,0,0,0,0,0,0,38.9,36.4,60.6,56.1,30.1,32.4,44.3,42.0,38.9,36.4,60.6,56.1,30.1,32.4,44.3,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(2.5 MEGAWATTS PER OFF PEAK HRS),1134,1.0,SHORT,-537,-0.0421341702628,LONG
7,BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE,2012-02-21,21.02.2012,06465N,NYME,1,64,21780,1208,310,1300,18664,19486,21172,21096,608,684,21780,1208,310,1300,18664,19486,21172,21096,608,684,0,0,0,0,0,0,0,0,0,0,-2116.0,400.0,0.0,0.0,-2576.0,-2116.0,-2176.0,-2116.0,60.0,0.0,100,5.5,1.4,6.0,85.7,89.5,97.2,96.9,2.8,3.1,100,5.5,1.4,6.0,85.7,89.5,97.2,96.9,2.8,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1,1,2,21,21,23,24,26,1,1,2,21,21,23,24,0,0,0,0,0,0,0,0,45.1,59.5,67.3,73.6,36.1,43.5,48.7,50.4,45.1,59.5,67.3,73.6,36.1,43.5,48.7,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(2.5 MEGAWATTS PER OFF PEAK HRS),898,0.591567852437,SHORT,-822,-0.0215465268676,LONG
8,BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE,2012-02-28,28.02.2012,06465S,NYME,1,64,13366,0,2074,892,11357,9636,12249,12602,1117,764,13366,0,2074,892,11357,9636,12249,12602,1117,764,0,0,0,0,0,0,0,0,0,0,134.0,0.0,-240.0,148.0,-72.0,336.0,76.0,244.0,58.0,-110.0,100,0.0,15.5,6.7,85.0,72.1,91.6,94.3,8.4,5.7,100,0.0,15.5,6.7,85.0,72.1,91.6,94.3,8.4,5.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,3,2,19,16,21,19,25,0,3,2,19,16,21,19,0,0,0,0,0,0,0,0,47.8,40.9,70.3,65.6,42.5,27.3,52.0,47.5,47.8,40.9,70.3,65.6,42.5,27.3,52.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(2.5 MEGAWATTS PER OFF PEAK HRS),-2074,-1.0,LONG,1721,0.0819797075216,SHORT
9,BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE,2012-03-06,06.03.2012,06465S,NYME,1,64,13688,840,26,28,11266,12722,12134,12776,1554,912,13688,840,26,28,11266,12722,12134,12776,1554,912,0,0,0,0,0,0,0,0,0,0,14.0,0.0,0.0,0.0,-30.0,-6.0,-30.0,-6.0,44.0,20.0,100,6.1,0.2,0.2,82.3,92.9,88.6,93.3,11.4,6.7,100,6.1,0.2,0.2,82.3,92.9,88.6,93.3,11.4,6.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1,1,1,18,19,20,20,24,1,1,1,18,19,20,20,0,0,0,0,0,0,0,0,36.0,46.5,60.7,75.2,34.5,39.1,52.7,58.6,36.0,46.5,60.7,75.2,34.5,39.1,52.7,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(2.5 MEGAWATTS PER OFF PEAK HRS),814,0.939953810624,SHORT,-1456,-0.0606970151743,LONG
