,Unnamed: 0,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Diff,Asset_Mgr_Signal1,Trade_Date,CALL_USDCAD,PUT_USDCAD,Returns,Basic_PL,Total_Basic_PL,AR_Forecast_Returns,AR_Forecast_Diff,AR_Comb_Forecast,AR_Comb_PL,Total_AR_Comb_PL,Forecast_Volatility,hvol21,GARCH_PL,Total_GARCH__PL
0,0,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-06-13,13.06.2006,90741,CME,0,90,129707,21578,67483,17530,5069,6759,278,44758,15024,2125,2061,1949,107,93506,111255,36201,18452,,,,,,,,,,,,,,,,,,100,16.6,52.0,13.5,3.9,5.2,0.2,34.5,11.6,1.6,1.6,1.5,0.1,72.1,85.8,27.9,14.2,81,11.0,16.0,13.0,4.0,,,30.0,9.0,,5.0,,,61.0,38.0,17.2,36.6,29.1,54.8,15.8,32.2,25.9,47.5,"(CONTRACTS OF CAD 100,000)",F10,FutOnly,0.497373791442,SHORT,-0.515433242384,LONG,-0.142881298613,SHORT,2006-06-19,1060.54,1008.98,0.0,1060.54,1060.54,-0.00101879219189,-0.514908123021,,0.0,0.0,0.0,,0.0,0.0
1,1,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-06-20,20.06.2006,90741,CME,0,90,123446,20522,57792,25211,6204,6757,159,34818,14476,1083,2106,2064,0,90103,107542,33343,15904,-6261.0,-1056.0,-9691.0,7681.0,1135.0,-2.0,-119.0,-9940.0,-548.0,-1042.0,45.0,115.0,-107.0,-3403.0,-3713.0,-2858.0,-2548.0,100,16.6,46.8,20.4,5.0,5.5,0.1,28.2,11.7,0.9,1.7,1.7,0.0,73.0,87.1,27.0,12.9,80,14.0,14.0,14.0,5.0,,,24.0,12.0,,5.0,,0.0,58.0,39.0,23.4,40.8,35.4,59.0,18.1,33.5,27.1,47.6,"(CONTRACTS OF CAD 100,000)",F10,FutOnly,0.412666856007,SHORT,-0.475904691371,LONG,-0.0426664609212,SHORT,2006-06-26,1471.23,1416.54,0.039528551013,1471.23,2531.77,0.002714261156,-0.477196420989,-0.477578789203,1471.23,1471.23,0.0758900996835,,0.0,0.0
2,2,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-06-27,27.06.2006,90741,CME,0,90,89791,10516,51686,107,6073,6759,125,35128,12586,1083,2190,2575,0,55222,74921,34569,14870,-33655.0,-10006.0,-6106.0,-25104.0,-131.0,2.0,-34.0,310.0,-1890.0,0.0,84.0,511.0,0.0,-34881.0,-32621.0,1226.0,-1034.0,100,11.7,57.6,0.1,6.8,7.5,0.1,39.1,14.0,1.2,2.4,2.9,0.0,61.5,83.4,38.5,16.6,69,8.0,12.0,,5.0,,,22.0,13.0,,4.0,,0.0,43.0,31.0,27.0,43.1,35.8,62.6,26.9,43.0,35.7,62.5,"(CONTRACTS OF CAD 100,000)",F10,FutOnly,0.47243995473,SHORT,-0.661875823928,LONG,-0.0534600997506,SHORT,2006-07-03,689.62,1147.25,-0.185971132557,689.62,3221.39,-0.0180467131068,-0.649931140821,-0.648190876327,689.62,2160.85,0.105887563609,,0.0,0.0
3,3,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-07-03,03.07.2006,90741,CME,0,90,93841,8986,55981,255,6355,6771,123,39886,12297,1083,2004,2334,0,58692,78844,35149,14997,4050.0,-1530.0,4295.0,148.0,282.0,12.0,-2.0,4758.0,-289.0,0.0,-186.0,-241.0,0.0,3470.0,3923.0,580.0,127.0,100,9.6,59.7,0.3,6.8,7.2,0.1,42.5,13.1,1.2,2.1,2.5,0.0,62.5,84.0,37.5,16.0,68,7.0,14.0,,6.0,,,21.0,11.0,,,,0.0,42.0,32.0,28.3,43.6,39.2,62.5,28.3,43.4,39.1,62.3,"(CONTRACTS OF CAD 100,000)",F10,FutOnly,0.528697085258,SHORT,-0.723367247987,LONG,-0.0316928234039,SHORT,2006-07-10,383.32,1137.87,-0.061491424059,383.32,3604.71,-0.00658629780396,-0.71860293587,-0.718035664751,383.32,2544.17,0.102834663799,0.380446294108,383.32,383.32
4,4,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-07-11,11.07.2006,90741,CME,0,90,92978,10494,42027,1202,5743,6293,155,33089,20426,1528,3760,3678,0,55971,75309,37007,17669,-863.0,1508.0,-13954.0,947.0,-612.0,-478.0,32.0,-6797.0,8129.0,445.0,1756.0,1344.0,0.0,-2721.0,-3535.0,1858.0,2672.0,100,11.3,45.2,1.3,6.2,6.8,0.2,35.6,22.0,1.6,4.0,4.0,0.0,60.2,81.0,39.8,19.0,71,9.0,12.0,5.0,5.0,,,22.0,10.0,,7.0,,0.0,50.0,30.0,21.7,38.7,31.3,57.6,21.7,37.9,31.2,56.7,"(CONTRACTS OF CAD 100,000)",F10,FutOnly,0.236625245258,SHORT,-0.600388416062,LONG,-0.0456962445995,SHORT,2006-07-17,1173.88,1101.42,0.122978831925,1173.88,4778.59,0.0103972392729,-0.60663079808,-0.60779816258,1173.88,3718.05,0.111274346238,0.344714284932,1173.88,1557.2
5,5,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-07-18,18.07.2006,90741,CME,0,90,83415,13695,40924,1311,5300,6294,158,23661,11041,1561,4070,3166,0,49756,64455,33659,18960,-9563.0,3201.0,-1103.0,109.0,-443.0,1.0,3.0,-9428.0,-9385.0,33.0,310.0,-512.0,0.0,-6215.0,-10854.0,-3348.0,1291.0,100,16.4,49.1,1.6,6.4,7.5,0.2,28.4,13.2,1.9,4.9,3.8,0.0,59.6,77.3,40.4,22.7,67,12.0,12.0,5.0,4.0,,,18.0,9.0,,6.0,,0.0,47.0,29.0,17.5,37.5,28.4,53.8,17.4,36.5,28.3,52.7,"(CONTRACTS OF CAD 100,000)",F10,FutOnly,0.363667800127,SHORT,-0.498526153902,LONG,-0.085734000345,SHORT,2006-07-24,1083.62,1010.37,0.10186226216,1083.62,5862.21,0.00845310988669,-0.502740250262,-0.50371673192,1083.62,4801.67,0.113843034316,0.306049369916,1083.62,2640.82
6,6,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-07-25,25.07.2006,90741,CME,0,90,91963,19189,35533,1699,5136,6304,141,25756,24127,1657,3113,3179,0,56691,72640,35272,19323,8548.0,5494.0,-5391.0,388.0,-164.0,10.0,-17.0,2095.0,13086.0,96.0,-957.0,13.0,0.0,6935.0,8185.0,1613.0,363.0,100,20.9,38.6,1.8,5.6,6.9,0.2,28.0,26.2,1.8,3.4,3.5,0.0,61.6,79.0,38.4,21.0,71,13.0,12.0,5.0,4.0,,,18.0,13.0,,5.0,,0.0,45.0,36.0,18.1,39.5,31.5,51.7,17.7,38.7,31.0,50.8,"(CONTRACTS OF CAD 100,000)",F10,FutOnly,0.0326564160135,SHORT,-0.298673294105,LONG,-0.102097902098,SHORT,2006-07-31,1131.02,733.38,0.199852859797,1131.02,6993.23,0.0174747645663,-0.303892539602,-0.305838875745,1131.02,5932.69,0.136455422419,0.323647049833,1131.02,3771.84
7,7,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-08-01,01.08.2006,90741,CME,0,90,86048,21292,33667,2311,5204,6318,58,18209,21365,1123,3248,3216,0,51445,68058,34603,17990,-5915.0,2103.0,-1866.0,612.0,68.0,14.0,-83.0,-7547.0,-2762.0,-534.0,135.0,37.0,0.0,-5246.0,-4582.0,-669.0,-1333.0,100,24.7,39.1,2.7,6.0,7.3,0.1,21.2,24.8,1.3,3.8,3.7,0.0,59.8,79.1,40.2,20.9,69,13.0,13.0,7.0,4.0,,,14.0,14.0,,5.0,,0.0,42.0,37.0,18.0,39.9,28.8,52.9,17.2,38.7,28.0,51.7,"(CONTRACTS OF CAD 100,000)",F10,FutOnly,-0.0797493303684,LONG,-0.225167852399,LONG,-0.0966846033675,SHORT,2006-08-07,1101.69,1097.46,0.073505441706,1101.69,8094.92,0.00584239571495,-0.226483372095,-0.227205271315,1101.69,7034.38,0.130308629486,0.312412300075,1101.69,4873.53
8,8,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-08-08,08.08.2006,90741,CME,0,90,82510,14013,43451,1187,4693,6316,53,21347,10900,1123,3523,3215,0,45939,66245,36571,16265,-3538.0,-7279.0,9784.0,-1124.0,-511.0,-2.0,-5.0,3138.0,-10465.0,0.0,275.0,-1.0,0.0,-5506.0,-1813.0,1968.0,-1725.0,100,17.0,52.7,1.4,5.7,7.7,0.1,25.9,13.2,1.4,4.3,3.9,0.0,55.7,80.3,44.3,19.7,68,10.0,16.0,6.0,,,,16.0,11.0,,5.0,4.0,0.0,40.0,36.0,17.2,33.1,29.5,47.2,17.2,32.9,28.7,47.0,"(CONTRACTS OF CAD 100,000)",F10,FutOnly,0.323968121066,SHORT,-0.512285952944,LONG,-0.147424834227,SHORT,2006-08-14,1136.79,1134.19,-0.287118100545,1136.79,9231.71,-0.0273589638643,-0.498270340069,-0.495539315193,1136.79,8171.17,0.16712781648,0.41912161459,1136.79,6010.32
9,9,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-08-15,15.08.2006,90741,CME,0,90,86815,15367,41215,1499,4477,6316,53,27173,13808,1123,3630,3295,0,53322,67309,33493,19506,4305.0,1354.0,-2236.0,312.0,-216.0,0.0,0.0,5826.0,2908.0,0.0,107.0,80.0,0.0,7383.0,1064.0,-3078.0,3241.0,100,17.7,47.5,1.7,5.2,7.3,0.1,31.3,15.9,1.3,4.2,3.8,0.0,61.4,77.5,38.6,22.5,69,11.0,14.0,7.0,,,,19.0,9.0,,6.0,4.0,0.0,45.0,33.0,18.5,35.6,31.6,50.4,18.3,35.6,30.4,50.3,"(CONTRACTS OF CAD 100,000)",F10,FutOnly,0.326126741661,SHORT,-0.456823724859,LONG,-0.170388214584,SHORT,2006-08-21,1045.2,1042.76,0.055462228085,1045.2,10276.91,0.00418121957637,-0.45873380516,-0.459269326638,1045.2,9216.37,0.154576398232,0.44442888074,1045.2,7055.52
