Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,EURUSD_CALL,EURUSD_PUT,XAUUSD_CALL,XAUUSD_PUT
02.01.06,1063.02,1067.6,1038.53,-18380.82,1168.18,-18040.82,-3950.92,907.93,-26643.78,2001.8,1184.24,-18070.49,1307.44,-9461.82,-1942.83,76.11
09.01.06,1126,1112.87,1270.53,1435.19,1105.48,1024.16,748.18,850.81,1791.83,1843.48,1071.14,1111.47,1192.62,1195.76,73.9,78.14
16.01.06,966.79,941.65,1106.4,1234.24,1058.16,959.82,920.35,-726.26,1049.3,2049.46,1122.8,-4411.06,1197.99,-2214.27,144.15,133.79
23.01.06,1179.1,1193.61,-16651.13,1226.39,994.93,900.45,740.77,888.72,1750.66,31.56,-12581.53,1228.08,-6641.03,1228.53,137.39,119.54
30.01.06,1031.95,1027.49,-877.69,1239.44,677.05,888.79,828.17,982.7,1846.49,-1499.33,1269.03,1275.94,1308.73,1238.22,139.59,121.45
06.02.06,945.03,961.43,1201.32,1289.25,1119.12,977.11,832.71,956.14,1766.39,1861.69,1196.08,1187,1163.48,1079.38,139.98,-1473.6
13.02.06,950.27,917.35,1164.34,1267.43,1057.14,960.78,755.16,894.81,1746.01,1853.3,1030.07,1031.21,1114.83,1067.24,132.71,115.47
20.02.06,987.51,932.35,1009.9,-6114.34,1007.4,918.5,869.21,-325.25,1629.54,1732.87,-1212.34,1113.1,1045.45,1069.87,133.2,130.38
27.02.06,911.1,876.14,-1850.42,1281.33,891.98,796.66,762.01,899.28,1638.84,1710.01,1096.04,-6426.16,966.18,-3742.81,132.7,129.88
06.03.06,-6746.61,959.81,931.69,1204.36,977.83,900.16,783.21,-8317.83,1454.61,-1531.82,333.99,1060.06,1031.86,1105.63,133.03,130.21
13.03.06,877.9,805.79,1081.72,-7113.53,-11085.58,980.81,623.32,-5744.22,-8376.83,1485.77,907.64,-4260.02,932.52,-6367.04,130.78,128.01
20.03.06,1084.26,1013.67,1011.33,1138.7,-8076.66,1036.06,783.3,-7574.58,1163.21,1217.2,-3771.66,1046.39,-3636.55,959.4,132.94,130.12
27.03.06,1040.5,965.78,1283.4,1392.8,1517.77,-1080.41,980.43,1218.7,1406.57,1461.35,1021.89,1065.33,984.69,298.11,-434.24,133.02
03.04.06,1026.61,-9911.93,1180.27,1288.68,1525.45,-6401.73,1112.85,1286.96,1517.6,1581.92,1076.1,1152.55,1048.09,1058.67,140.82,137.83
10.04.06,930.35,895.42,998.71,1097.95,1009.28,-471.66,-3719.59,1062.14,-12068.08,1312.17,821.51,-7307.95,824.4,-1447.16,143.66,140.61
17.04.06,868.23,827.32,1060.55,-14974.14,1253.83,1076.44,814.57,935.27,-2754.8,1593.25,1114.46,1200.73,1053.11,67.04,146.96,143.84
24.04.06,877.19,-12223.04,1356.12,1587.6,1231,-8943.51,593.53,1110.37,-20457.25,1490.13,1019.58,-8921.81,1074.85,-4176.46,-1163,194.79
01.05.06,909.76,953.3,1313.73,-592.25,1351.27,1313.12,1042.79,1134.68,-12668.42,1895.02,1247.22,1345.79,1252.34,1270.11,43.15,205.59
08.05.06,988.02,1006.88,1511.32,1776.96,1464.85,1350.68,1086.62,-1571.08,1648.21,2048.82,1316.25,886.91,1239.61,1238.26,220.38,198.2
15.05.06,1104.9,1122.75,1439,1688.83,1696.73,1512.81,1123.42,1284.49,2420.94,2311.23,1505.95,1554.02,1326.98,1312.74,261.02,254.05
22.05.06,1210.25,1153.11,1541.37,1658.23,1821.63,1571.31,-1157.49,1207.02,2568.34,-3408.35,-3130.06,1500.4,1371.99,1318.52,334.51,328.3
29.05.06,1189.26,1221.49,1398.07,1534.24,1086.18,1335.85,1000.96,1149.42,2243.59,2265.65,1360.71,1275.08,1294.3,1284.19,240.48,225.42
05.06.06,1088.53,1112.46,-7019.84,1503.74,1503.01,1297.77,1046.34,1191.6,2188.89,-9138.2,-7897.98,1505.7,-13320.45,1279.99,227.19,-1038.61
12.06.06,-7468.44,1111.85,895.06,1304.41,-510.69,1108.61,907.72,-2112.65,2084.3,2051,1304.2,1306.91,1237.56,1190.41,215.46,-1764.86
19.06.06,1060.54,1008.98,976.85,1083.04,1381.83,1215.22,1072.04,-750.11,1642.78,-1107.83,1143.21,1169.42,1001.83,1001.99,201.55,187.72
26.06.06,1471.23,1416.54,1144.65,-503.17,1485.99,-253.56,1030.48,1189,558.13,1765.66,1213.95,-2119.9,1184.28,-5177.25,-1246.77,194.37
03.07.06,689.62,1147.25,1128.98,1283.8,1347.16,1175.94,997.51,1133.34,1882.88,1970.59,1201.06,1261.63,1181.31,1190.05,222.68,207.41
10.07.06,383.32,1137.87,-14171.45,1314.62,1227.03,1085.12,-1323.12,1157.14,1602.93,-5277.89,-4128.4,1109.7,-7225.76,988.79,231.71,217.2
17.07.06,1173.88,1101.42,1054.84,1111.18,1162.78,1019.65,835.02,955.91,-14312.87,1788.75,1060.47,1088.27,1040.17,1035.15,238.76,-440.66
24.07.06,1083.62,1010.37,945.82,-5818.36,1013.85,-5911.61,744.29,860.41,863.18,1638.94,889.04,-478.91,925.67,-568,228.41,214.1
31.07.06,1131.02,733.38,1265.86,1423.17,1154.98,1056.58,829.5,929.66,-19207.96,1975.23,1096.66,1151.6,1124.07,1116.16,222.6,204.55
07.08.06,1101.69,1097.46,-3110.08,1236.99,1204.23,1070.59,848.84,949.54,2010.62,603.24,-2886.48,1163.04,440.98,1120.18,223.96,-91.42
14.08.06,1136.79,1134.19,931.71,1034.85,1214.95,1112.08,-3512.56,927.81,1931.6,1929.77,1024.78,-2522.13,1056.01,-2955.6,216.38,199.24
21.08.06,1045.2,1042.76,-3206.71,1034.52,1090.31,965.55,751.68,845.2,1732.84,1647.45,-975.2,990.71,535.5,978.63,216.86,199.69
28.08.06,911.5,904.01,984.49,1094.53,1134.21,-4198.33,-5215.81,932.07,1872.4,1910.66,1179.07,1221.06,1248.41,1210.63,156.03,136.54
