,Data_Date,Positioning_Diff,Signal,Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,EURUSD_CALL,EURUSD_PUT,XAUUSD_CALL,XAUUSD_PUT,Signal_PL,Signal_Total_PL,Fitted_PL,Fitted_PL_Forward,Signal_Total_PL_Fitted,Fitted_PL_Rule_Weight,Fitted_PL_Rule_Adj,Signal_Total_PL_Fitted_Rule,Fitted_PL_Forward_Rule_Weight,Fitted_PL_Forward_Rule_Adj,Fitted_Total_PL_Forward_Fitted_Rule
0,2006-06-13,0.73516536965,SHORT,2006-06-19,1060.54,1008.98,976.85,1083.04,1381.83,1215.22,1072.04,-750.11,1642.78,-1107.83,1143.21,1169.42,1001.83,1001.99,201.55,187.72,1001.83,1001.83,13.0995258841,13.0995258841,13.0995258841,0.5,500.915,500.915,1,1001.83,1001.83
1,2006-06-20,0.488457223829,SHORT,2006-06-26,1471.23,1416.54,1144.65,-503.17,1485.99,-253.56,1030.48,1189.0,558.13,1765.66,1213.95,-2119.9,1184.28,-5177.25,-1246.77,194.37,1184.28,2186.11,785.286861245,785.286861245,798.386387129,0.5,592.14,1093.055,1,1184.28,2186.11
2,2006-06-27,0.636465449658,SHORT,2006-07-03,689.62,1147.25,1128.98,1283.8,1347.16,1175.94,997.51,1133.34,1882.88,1970.59,1201.06,1261.63,1181.31,1190.05,222.68,207.41,1181.31,3367.42,-30.2431355596,-30.2431355596,768.14325157,0.0,0.0,1093.055,1,1181.31,3367.42
3,2006-07-03,0.695827194275,SHORT,2006-07-10,383.32,1137.87,-14171.45,1314.62,1227.03,1085.12,-1323.12,1157.14,1602.93,-5277.89,-4128.4,1109.7,-7225.76,988.79,231.71,217.2,-7225.76,-3858.34,-115.537966843,-115.537966843,652.605284726,0.0,-0.0,1093.055,1,-7225.76,-3858.34
4,2006-07-11,0.728992015968,SHORT,2006-07-17,1173.88,1101.42,1054.84,1111.18,1162.78,1019.65,835.02,955.91,-14312.87,1788.75,1060.47,1088.27,1040.17,1035.15,238.76,-440.66,1040.17,-2818.17,-17.2912543599,-17.2912543599,635.314030366,0.0,0.0,1093.055,1,1040.17,-2818.17
5,2006-07-18,0.645046048966,SHORT,2006-07-24,1083.62,1010.37,945.82,-5818.36,1013.85,-5911.61,744.29,860.41,863.18,1638.94,889.04,-478.91,925.67,-568.0,228.41,214.1,925.67,-1892.5,-60.4750286841,-60.4750286841,574.839001682,0.0,0.0,1093.055,1,925.67,-1892.5
6,2006-07-25,0.542292225201,SHORT,2006-07-31,1131.02,733.38,1265.86,1423.17,1154.98,1056.58,829.5,929.66,-19207.96,1975.23,1096.66,1151.6,1124.07,1116.16,222.6,204.55,1124.07,-768.43,498.056139754,498.056139754,1072.89514144,0.5,562.035,1655.09,1,1124.07,-768.43
7,2006-08-01,0.749482188762,SHORT,2006-08-07,1101.69,1097.46,-3110.08,1236.99,1204.23,1070.59,848.84,949.54,2010.62,603.24,-2886.48,1163.04,440.98,1120.18,223.96,-91.42,440.98,-327.45,97.1862056092,97.1862056092,1170.08134705,0.5,220.49,1875.58,1,440.98,-327.45
8,2006-08-08,0.829255698444,SHORT,2006-08-14,1136.79,1134.19,931.71,1034.85,1214.95,1112.08,-3512.56,927.81,1931.6,1929.77,1024.78,-2522.13,1056.01,-2955.6,216.38,199.24,1056.01,728.56,750.120925979,750.120925979,1920.20227302,0.5,528.005,2403.585,1,1056.01,728.56
9,2006-08-15,0.835037063981,SHORT,2006-08-21,1045.2,1042.76,-3206.71,1034.52,1090.31,965.55,751.68,845.2,1732.84,1647.45,-975.2,990.71,535.5,978.63,216.86,199.69,535.5,1264.06,791.248730942,791.248730942,2711.45100397,0.5,267.75,2671.335,1,535.5,1264.06
10,2006-08-22,0.816768491528,SHORT,2006-08-28,911.5,904.01,984.49,1094.53,1134.21,-4198.33,-5215.81,932.07,1872.4,1910.66,1179.07,1221.06,1248.41,1210.63,156.03,136.54,1248.41,2512.47,650.662721579,650.662721579,3362.11372554,0.5,624.205,3295.54,1,1248.41,2512.47
11,2006-08-29,0.786580184671,SHORT,2006-09-04,-2539.71,997.82,-5173.18,998.54,-14484.43,1043.09,812.23,-3106.27,1698.87,-23453.46,-3485.23,1066.31,-3860.26,887.65,161.79,-1858.18,-3860.26,-1347.79,385.923024787,385.923024787,3748.03675033,0.5,-1930.13,1365.41,1,-3860.26,-1347.79
12,2006-09-05,0.731107641574,SHORT,2006-09-11,964.92,946.6,943.98,1077.68,1216.68,1088.11,-15822.58,1059.17,1504.18,1540.61,983.22,1001.15,1036.2,999.59,152.83,125.72,1036.2,-311.59,-7.28985378171,-7.28985378171,3740.74689655,0.0,0.0,1365.41,1,1036.2,-311.59
13,2006-09-12,0.702570804889,SHORT,2006-09-18,885.3,885.11,902.85,-305.46,1098.39,978.25,1029.72,1140.63,-2860.66,1455.2,1023.23,1051.96,907.77,887.11,152.23,125.11,907.77,596.18,-104.571284409,-104.571284409,3636.17561214,0.0,0.0,1365.41,1,907.77,596.18
14,2006-09-19,0.555947605812,SHORT,2006-09-25,885.41,884.22,-742.11,1038.71,1018.6,911.3,1049.27,428.46,1341.53,1322.33,928.7,983.35,797.69,804.91,152.93,126.12,797.69,1393.87,413.689465839,413.689465839,4049.86507798,0.5,398.845,1764.255,1,797.69,1393.87
15,2006-09-26,0.568124322371,SHORT,2006-10-02,1038.04,1036.85,-4769.15,952.51,1179.26,1057.92,1082.4,1225.36,1484.18,-3963.18,-5871.06,935.37,-3423.51,796.52,154.37,-413.71,-3423.51,-2029.64,337.550128102,337.550128102,4387.41520608,0.5,-1711.755,52.5,1,-3423.51,-2029.64
16,2006-10-03,0.590057229105,SHORT,2006-10-09,-2748.39,902.45,813.13,977.1,977.56,-3535.79,912.07,1031.77,1395.81,1365.03,905.74,935.39,809.47,811.19,110.53,123.05,809.47,-1220.17,203.294183011,203.294183011,4590.70938909,0.5,404.735,457.235,1,809.47,-1220.17
17,2006-10-10,0.185618895048,SHORT,2006-10-16,963.27,884.48,815.28,854.37,910.05,821.66,965.76,1087.52,1359.98,1393.9,884.88,880.81,903.47,828.88,154.46,127.04,903.47,-316.7,712.960947055,712.960947055,5303.67033615,0.5,451.735,908.97,1,903.47,-316.7
18,2006-10-17,0.089823980229,SHORT,2006-10-23,835.29,771.68,943.76,-5384.2,888.74,-7906.59,931.99,1032.79,-13023.42,1496.52,788.41,-4596.35,729.62,-5485.33,-197.43,124.03,729.62,412.92,865.771965522,865.771965522,6169.44230167,0.5,364.81,1273.78,1,729.62,412.92
19,2006-10-24,0.0489887869261,SHORT,2006-10-30,807.04,773.6,863.23,1017.08,875.27,774.99,723.3,825.74,1283.56,1261.57,881.69,869.77,653.8,674.02,-71.76,101.12,653.8,1066.72,597.322891537,597.322891537,6766.76519321,0.5,326.9,1600.68,1,653.8,1066.72
20,2006-10-31,0.58050267425,SHORT,2006-11-06,736.96,629.71,680.49,824.22,-2361.18,962.44,732.3,-1687.45,1276.89,1238.96,727.28,199.11,565.59,607.14,152.04,123.51,565.59,1632.31,260.897296324,260.897296324,7027.66248953,0.5,282.795,1883.475,1,565.59,1632.31
21,2006-11-07,0.669366248719,SHORT,2006-11-13,552.13,678.72,817.59,921.02,1021.25,-1741.53,-3604.53,821.93,1490.7,1319.32,900.39,1012.19,688.07,769.54,152.62,124.01,688.07,2320.38,-115.533681059,-115.533681059,6912.12880847,0.0,0.0,1883.475,1,688.07,2320.38
