,Data_Date,Positioning_Diff,Signal,Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,Signal_PL,Signal_Total_PL,Fitted_PL,Fitted_PL_Forward,Signal_Total_PL_Fitted,Fitted_PL_Rule_Weight,Fitted_PL_Rule_Adj,Signal_Total_PL_Fitted_Rule,Fitted_PL_Forward_Rule_Weight,Fitted_PL_Forward_Rule_Adj,Fitted_Total_PL_Forward_Fitted_Rule
0,2006-06-13,0.5180795905999596,SHORT,2006-06-19,1060.54,1008.98,976.85,1083.04,1381.83,1215.22,1072.04,-750.11,1642.78,-1107.83,1143.21,1169.42,1642.78,1642.78,-104.54481518268585,-104.54481518268585,-104.54481518268585,0.0,0.0,0.0,0.0,0.0,0.0
1,2006-06-20,0.6506551957621379,SHORT,2006-06-26,1471.23,1416.54,1144.65,-503.17,1485.99,-253.56,1030.48,1189.0,558.13,1765.66,1213.95,-2119.9,558.13,2200.91,2556.466251730919,2556.466251730919,2451.921436548233,1.0,558.13,558.13,1.0,558.13,558.13
2,2006-06-27,0.37780230392495,SHORT,2006-07-03,689.62,1147.25,1128.98,1283.8,1347.16,1175.94,997.51,1133.34,1882.88,1970.59,1201.06,1261.63,1882.88,4083.79,256.4110482633114,256.4110482633114,2708.3324848115444,0.5,941.44,1499.5700000000002,0.5,941.44,1499.5700000000002
3,2006-07-03,0.4633898380003094,SHORT,2006-07-10,383.32,1137.87,-14171.45,1314.62,1227.03,1085.12,-1323.12,1157.14,1602.93,-5277.89,-4128.4,1109.7,1602.93,5686.72,-7545.067973047495,-7545.067973047495,-4836.7354882359505,0.0,0.0,1499.5700000000002,0.0,0.0,1499.5700000000002
4,2006-07-11,0.3873719471818642,SHORT,2006-07-17,1173.88,1101.42,1054.84,1111.18,1162.78,1019.65,835.02,955.91,-14312.87,1788.75,1060.47,1088.27,-14312.87,-8626.150000000001,-11922.951101481915,-11922.951101481915,-16759.686589717865,0.0,-0.0,1499.5700000000002,0.0,-0.0,1499.5700000000002
5,2006-07-18,0.4837039839130348,SHORT,2006-07-24,1083.62,1010.37,945.82,-5818.36,1013.85,-5911.61,744.29,860.41,863.18,1638.94,889.04,-478.91,863.18,-7762.970000000001,-3473.017137080431,-3473.017137080431,-20232.703726798296,0.0,0.0,1499.5700000000002,0.0,0.0,1499.5700000000002
6,2006-07-25,0.4798395279499227,SHORT,2006-07-31,1131.02,733.38,1265.86,1423.17,1154.98,1056.58,829.5,929.66,-19207.96,1975.23,1096.66,1151.6,-19207.96,-26970.93,-4095.8040563464165,-4095.8040563464165,-24328.507783144712,0.0,-0.0,1499.5700000000002,0.0,-0.0,1499.5700000000002
7,2006-08-01,0.5352162257304558,SHORT,2006-08-07,1101.69,1097.46,-3110.08,1236.99,1204.23,1070.59,848.84,949.54,2010.62,603.24,-2886.48,1163.04,2010.62,-24960.31,1009.0435176491737,1009.0435176491737,-23319.46426549554,1.0,2010.62,3510.19,1.0,2010.62,3510.19
8,2006-08-08,0.6874387590191262,SHORT,2006-08-14,1136.79,1134.19,931.71,1034.85,1214.95,1112.08,-3512.56,927.81,1931.6,1929.77,1024.78,-2522.13,1931.6,-23028.710000000003,469.74893859028816,469.74893859028816,-22849.71532690525,0.5,965.8,4475.99,0.5,965.8,4475.99
9,2006-08-15,0.6946892552171331,SHORT,2006-08-21,1045.2,1042.76,-3206.71,1034.52,1090.31,965.55,751.68,845.2,1732.84,1647.45,-975.2,990.71,1732.84,-21295.870000000003,2989.9997241199017,2989.9997241199017,-19859.71560278535,1.0,1732.84,6208.83,1.0,1732.84,6208.83
10,2006-08-22,0.6639295162981079,SHORT,2006-08-28,911.5,904.01,984.49,1094.53,1134.21,-4198.33,-5215.81,932.07,1872.4,1910.66,1179.07,1221.06,1872.4,-19423.47,436.2456032037735,436.2456032037735,-19423.469999581575,0.5,936.2,7145.03,0.5,936.2,7145.03
11,2006-08-29,0.6786231973073238,SHORT,2006-09-04,-2539.71,997.82,-5173.18,998.54,-14484.43,1043.09,812.23,-3106.27,1698.87,-23453.46,-3485.23,1066.31,1698.87,-17724.600000000002,1216.1550236940384,-601.928141862154,-18207.314975887537,1.0,1698.87,8843.9,0.0,0.0,7145.03
12,2006-09-05,0.6840615690168819,SHORT,2006-09-11,964.92,946.6,943.98,1077.68,1216.68,1088.11,-15822.58,1059.17,1504.18,1540.61,983.22,1001.15,1504.18,-16220.420000000002,1211.6523974388838,-156.22662860155106,-16995.662578448653,1.0,1504.18,10348.08,0.0,0.0,7145.03
13,2006-09-12,0.5280216575180603,SHORT,2006-09-18,885.3,885.11,902.85,-305.46,1098.39,978.25,1029.72,1140.63,-2860.66,1455.2,1023.23,1051.96,-2860.66,-19081.08,-136.15357365459204,535.0390503108501,-17131.816152103245,0.0,-0.0,10348.08,0.5,-1430.33,5714.7
14,2006-09-19,0.5887232269245526,SHORT,2006-09-25,885.41,884.22,-742.11,1038.71,1018.6,911.3,1049.27,428.46,1341.53,1322.33,928.7,983.35,1341.53,-17739.550000000003,899.6326085329056,5471.438803941011,-16232.18354357034,0.5,670.765,11018.845,1.0,1341.53,7056.23
15,2006-09-26,0.6045840352816199,SHORT,2006-10-02,1038.04,1036.85,-4769.15,952.51,1179.26,1057.92,1082.4,1225.36,1484.18,-3963.18,-5871.06,935.37,1484.18,-16255.370000000003,1511.0983658581972,6276.919820159674,-14721.085177712142,1.0,1484.18,12503.025,1.0,1484.18,8540.41
