,Data_Date,Positioning_Diff,Signal,Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,Signal_PL,Signal_Total_PL,Fitted_PL,Fitted_PL_Forward,Signal_Total_PL_Fitted,Fitted_PL_Rule_Weight,Fitted_PL_Rule_Adj,Signal_Total_PL_Fitted_Rule,Fitted_PL_Forward_Rule_Weight,Fitted_PL_Forward_Rule_Adj,Fitted_Total_PL_Forward_Fitted_Rule
0,2006-06-13,-0.26984423094860555,LONG,2006-06-19,1060.54,1008.98,976.85,1083.04,1381.83,1215.22,1072.04,-750.11,1642.78,-1107.83,1143.21,1169.42,-750.11,-750.11,-60.82547795289429,-60.82547795289429,-60.82547795289429,0.0,-0.0,0.0,0.0,-0.0,0.0
1,2006-07-11,0.03347653400340445,SHORT,2006-07-17,1173.88,1101.42,1054.84,1111.18,1162.78,1019.65,835.02,955.91,-14312.87,1788.75,1060.47,1088.27,835.02,84.90999999999997,835.4934160725352,835.4934160725352,774.6679381196409,0.5,417.51,417.51,0.5,417.51,417.51
2,2006-07-18,-0.2470715444224185,LONG,2006-07-24,1083.62,1010.37,945.82,-5818.36,1013.85,-5911.61,744.29,860.41,863.18,1638.94,889.04,-478.91,860.41,945.3199999999999,463.7514718013699,463.7514718013699,1238.4194099210108,0.5,430.205,847.7149999999999,0.5,430.205,847.7149999999999
3,2006-07-25,-0.33597041878063466,LONG,2006-07-31,1131.02,733.38,1265.86,1423.17,1154.98,1056.58,829.5,929.66,-19207.96,1975.23,1096.66,1151.6,929.66,1874.98,449.772371438994,449.772371438994,1688.1917813600048,0.5,464.83,1312.5449999999998,0.5,464.83,1312.5449999999998
4,2006-08-01,-0.4778375986429678,LONG,2006-08-07,1101.69,1097.46,-3110.08,1236.99,1204.23,1070.59,848.84,949.54,2010.62,603.24,-2886.48,1163.04,949.54,2824.52,938.1599086575079,938.1599086575079,2626.3516900175127,0.5,474.77,1787.3149999999998,0.5,474.77,1787.3149999999998
5,2006-08-08,-0.4383706951417863,LONG,2006-08-14,1136.79,1134.19,931.71,1034.85,1214.95,1112.08,-3512.56,927.81,1931.6,1929.77,1024.78,-2522.13,927.81,3752.33,1254.6102018582424,1254.6102018582424,3880.961891875755,1.0,927.81,2715.125,1.0,927.81,2715.125
6,2006-08-15,-0.6725132568032166,LONG,2006-08-21,1045.2,1042.76,-3206.71,1034.52,1090.31,965.55,751.68,845.2,1732.84,1647.45,-975.2,990.71,845.2,4597.53,-1062.826931812644,-1062.826931812644,2818.134960063111,0.0,0.0,2715.125,0.0,0.0,2715.125
7,2006-08-22,-0.6484841458466175,LONG,2006-08-28,911.5,904.01,984.49,1094.53,1134.21,-4198.33,-5215.81,932.07,1872.4,1910.66,1179.07,1221.06,932.07,5529.599999999999,987.8057628591523,987.8057628591523,3805.9407229222634,0.5,466.035,3181.16,0.5,466.035,3181.16
8,2006-08-29,-0.6757448364101626,LONG,2006-09-04,-2539.71,997.82,-5173.18,998.54,-14484.43,1043.09,812.23,-3106.27,1698.87,-23453.46,-3485.23,1066.31,-3106.27,2423.3299999999995,-1504.8222726416388,-1504.8222726416388,2301.1184502806245,0.0,-0.0,3181.16,0.0,-0.0,3181.16
9,2006-09-05,-0.6331217541834968,LONG,2006-09-11,964.92,946.6,943.98,1077.68,1216.68,1088.11,-15822.58,1059.17,1504.18,1540.61,983.22,1001.15,1059.17,3482.4999999999995,1478.1818969975648,1478.1818969975648,3779.3003472781893,1.0,1059.17,4240.33,1.0,1059.17,4240.33
10,2006-09-12,-0.5559301084330581,LONG,2006-09-18,885.3,885.11,902.85,-305.46,1098.39,978.25,1029.72,1140.63,-2860.66,1455.2,1023.23,1051.96,1140.63,4623.129999999999,843.8296526992635,843.8296526992635,4623.129999977453,0.5,570.315,4810.645,0.5,570.315,4810.645
11,2006-09-19,-0.92817753866846,LONG,2006-09-25,885.41,884.22,-742.11,1038.71,1018.6,911.3,1049.27,428.46,1341.53,1322.33,928.7,983.35,428.46,5051.589999999999,426.0435791015625,-744491.6167390451,5049.173579079015,0.5,214.23,5024.875,0.0,0.0,4810.645
12,2006-09-26,-0.923528164534596,LONG,2006-10-02,1038.04,1036.85,-4769.15,952.51,1179.26,1057.92,1082.4,1225.36,1484.18,-3963.18,-5871.06,935.37,1225.36,6276.949999999999,1229.329345703125,-701119.137923236,6278.50292478214,1.0,1225.36,6250.235,0.0,0.0,4810.645
13,2006-10-03,-0.8840058254090637,LONG,2006-10-09,-2748.39,902.45,813.13,977.1,977.56,-3535.79,912.07,1031.77,1395.81,1365.03,905.74,935.39,1031.77,7308.719999999999,921.2470703125,-408183.2779886971,7199.74999509464,0.5,515.885,6766.12,0.0,0.0,4810.645
14,2006-10-10,-0.8485954846881751,LONG,2006-10-16,963.27,884.48,815.28,854.37,910.05,821.66,965.76,1087.52,1359.98,1393.9,884.88,880.81,1087.52,8396.24,964.703857421875,-237813.31353081018,8164.453852516515,0.5,543.76,7309.88,0.0,0.0,4810.645
15,2006-10-17,-0.8765743073047858,LONG,2006-10-23,835.29,771.68,943.76,-5384.2,888.74,-7906.59,931.99,1032.79,-13023.42,1496.52,788.41,-4596.35,1032.79,9429.029999999999,993.498779296875,-366193.3119827377,9157.95263181339,0.5,516.395,7826.275,0.0,0.0,4810.645
16,2006-10-24,-0.8508973768982973,LONG,2006-10-30,807.04,773.6,863.23,1017.08,875.27,774.99,723.3,825.74,1283.56,1261.57,881.69,869.77,825.74,10254.769999999999,960.47216796875,-246777.63450213659,10118.42479978214,0.5,412.87,8239.145,0.0,0.0,4810.645
17,2006-10-31,-0.8378682679677238,LONG,2006-11-06,736.96,629.71,680.49,824.22,-2361.18,962.44,732.3,-1687.45,1276.89,1238.96,727.28,199.11,-1687.45,8567.319999999998,-1680.4388427734375,-199370.57695375843,8437.985957008703,0.0,-0.0,8239.145,0.0,-0.0,4810.645
18,2006-11-07,-0.8881198087087843,LONG,2006-11-13,552.13,678.72,817.59,921.02,1021.25,-1741.53,-3604.53,821.93,1490.7,1319.32,900.39,1012.19,821.93,9389.249999999998,745.8177490234375,-433030.55310251645,9183.80370603214,0.5,410.965,8650.11,0.0,0.0,4810.645
19,2006-11-14,-0.8719930018953199,LONG,2006-11-20,562.92,-4832.01,581.86,-7439.34,790.14,-2389.36,847.03,950.6,-26593.59,1162.41,734.17,-21291.92,950.6,10339.849999999999,908.51513671875,-342076.852526796,10092.31884275089,0.5,475.3,9125.41,0.0,0.0,4810.645
20,2006-11-21,-0.8831785069838936,LONG,2006-11-27,852.73,796.15,897.81,1118.12,934.39,-5315.23,-15329.27,678.07,-22681.34,1696.07,1193.58,1346.06,678.07,11017.919999999998,945.3057861328125,-403327.11783412436,11037.624628883703,0.5,339.035,9464.445,0.0,0.0,4810.645
21,2006-11-28,-0.8778307120015663,LONG,2006-12-04,828.84,771.05,-4828.39,1282.74,1018.36,909.15,912.68,1022.53,2256.06,-2312.28,1230.79,1375.68,1022.53,12040.449999999999,1002.820556640625,-373038.5385010549,12040.445185524328,1.0,1022.53,10486.975,0.0,0.0,4810.645
22,2006-12-05,-0.8822422666150185,LONG,2006-12-11,962.91,893.52,414.48,1419.06,1154.56,1050.67,889.39,998.35,2648.83,2468.42,-3745.05,1330.36,998.35,13038.8,-1130.2545901238918,967.597412109375,10910.190595400436,0.0,0.0,10486.975,0.5,499.175,5309.820000000001
