,Data_Date,Positioning_Diff,Signal,Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,Signal_PL,Signal_Total_PL,Fitted_PL,Fitted_PL_Forward,Signal_Total_PL_Fitted,Fitted_PL_Rule_Weight,Fitted_PL_Rule_Adj,Signal_Total_PL_Fitted_Rule,Fitted_PL_Forward_Rule_Weight,Fitted_PL_Forward_Rule_Adj,Fitted_Total_PL_Forward_Fitted_Rule
0,2006-06-13,1.0,LONG,2006-06-19,1060.54,1008.98,976.85,1083.04,1381.83,1215.22,1072.04,-750.11,1642.78,-1107.83,1143.21,1169.42,1169.42,1169.42,290.28451712711876,290.28451712711876,290.28451712711876,0.5,584.71,584.71,0.5,584.71,584.71
1,2006-06-20,1.0,LONG,2006-06-26,1471.23,1416.54,1144.65,-503.17,1485.99,-253.56,1030.48,1189.0,558.13,1765.66,1213.95,-2119.9,-2119.9,-950.48,290.28451712711876,290.28451712711876,580.5690342542375,0.5,-1059.95,-475.24,0.5,-1059.95,-475.24
2,2006-06-27,1.0,LONG,2006-07-03,689.62,1147.25,1128.98,1283.8,1347.16,1175.94,997.51,1133.34,1882.88,1970.59,1201.06,1261.63,1261.63,311.1500000000001,290.28451712711876,290.28451712711876,870.8535513813563,0.5,630.815,155.57500000000005,0.5,630.815,155.57500000000005
3,2006-07-03,0.20196078431372544,LONG,2006-07-10,383.32,1137.87,-14171.45,1314.62,1227.03,1085.12,-1323.12,1157.14,1602.93,-5277.89,-4128.4,1109.7,1109.7,1420.8500000000001,967.2851986451951,967.2851986451951,1838.1387500265514,0.5,554.85,710.4250000000001,0.5,554.85,710.4250000000001
4,2006-07-11,0.2090729783037475,LONG,2006-07-17,1173.88,1101.42,1054.84,1111.18,1162.78,1019.65,835.02,955.91,-14312.87,1788.75,1060.47,1088.27,1088.27,2509.12,1155.9008712451855,1155.9008712451855,2994.039621271737,1.0,1088.27,1798.6950000000002,1.0,1088.27,1798.6950000000002
5,2006-07-18,1.0,LONG,2006-07-24,1083.62,1010.37,945.82,-5818.36,1013.85,-5911.61,744.29,860.41,863.18,1638.94,889.04,-478.91,-478.91,2030.2099999999998,290.28451712711876,290.28451712711876,3284.3241383988557,0.5,-239.455,1559.2400000000002,0.5,-239.455,1559.2400000000002
6,2006-07-25,1.0,LONG,2006-07-31,1131.02,733.38,1265.86,1423.17,1154.98,1056.58,829.5,929.66,-19207.96,1975.23,1096.66,1151.6,1151.6,3181.8099999999995,290.28451712711876,290.28451712711876,3574.6086555259744,0.5,575.8,2135.04,0.5,575.8,2135.04
7,2006-08-01,1.0,LONG,2006-08-07,1101.69,1097.46,-3110.08,1236.99,1204.23,1070.59,848.84,949.54,2010.62,603.24,-2886.48,1163.04,1163.04,4344.849999999999,290.28451712711876,290.28451712711876,3864.893172653093,0.5,581.52,2716.56,0.5,581.52,2716.56
8,2006-08-08,1.0,LONG,2006-08-14,1136.79,1134.19,931.71,1034.85,1214.95,1112.08,-3512.56,927.81,1931.6,1929.77,1024.78,-2522.13,-2522.13,1822.7199999999993,290.28451712711876,290.28451712711876,4155.177689780212,0.5,-1261.065,1455.495,0.5,-1261.065,1455.495
9,2006-08-15,1.0,LONG,2006-08-21,1045.2,1042.76,-3206.71,1034.52,1090.31,965.55,751.68,845.2,1732.84,1647.45,-975.2,990.71,990.71,2813.4299999999994,290.28451712711876,290.28451712711876,4445.46220690733,0.5,495.355,1950.85,0.5,495.355,1950.85
10,2006-08-22,1.0,LONG,2006-08-28,911.5,904.01,984.49,1094.53,1134.21,-4198.33,-5215.81,932.07,1872.4,1910.66,1179.07,1221.06,1221.06,4034.4899999999993,290.28451712711876,290.28451712711876,4735.746724034449,0.5,610.53,2561.38,0.5,610.53,2561.38
11,2006-08-29,1.0,LONG,2006-09-04,-2539.71,997.82,-5173.18,998.54,-14484.43,1043.09,812.23,-3106.27,1698.87,-23453.46,-3485.23,1066.31,1066.31,5100.799999999999,290.28451712711876,290.28451712711876,5026.031241161567,0.5,533.155,3094.535,0.5,533.155,3094.535
12,2006-09-05,0.3700787401574803,LONG,2006-09-11,964.92,946.6,943.98,1077.68,1216.68,1088.11,-15822.58,1059.17,1504.18,1540.61,983.22,1001.15,1001.15,6101.949999999999,957.7364041810924,957.7364041810924,5983.767645342659,0.5,500.575,3595.1099999999997,0.5,500.575,3595.1099999999997
13,2006-09-12,0.33177933177933183,LONG,2006-09-18,885.3,885.11,902.85,-305.46,1098.39,978.25,1029.72,1140.63,-2860.66,1455.2,1023.23,1051.96,1051.96,7153.909999999999,1127.6155397608927,1127.6155397608927,7111.383185103552,1.0,1051.96,4647.07,1.0,1051.96,4647.07
14,2006-09-19,-0.017467248908296984,SHORT,2006-09-25,885.41,884.22,-742.11,1038.71,1018.6,911.3,1049.27,428.46,1341.53,1322.33,928.7,983.35,928.7,8082.609999999999,-1764.551443301148,-1764.551443301148,5346.8317418024035,0.0,0.0,4647.07,0.0,0.0,4647.07
15,2006-09-26,-0.017467248908296984,SHORT,2006-10-02,1038.04,1036.85,-4769.15,952.51,1179.26,1057.92,1082.4,1225.36,1484.18,-3963.18,-5871.06,935.37,-5871.06,2211.5499999999984,-1764.551443301148,-1764.551443301148,3582.2802985012554,0.0,-0.0,4647.07,0.0,-0.0,4647.07
16,2006-10-03,-0.03536977491961418,SHORT,2006-10-09,-2748.39,902.45,813.13,977.1,977.56,-3535.79,912.07,1031.77,1395.81,1365.03,905.74,935.39,905.74,3117.289999999998,-828.2932114319574,-828.2932114319574,2753.987087069298,0.0,0.0,4647.07,0.0,0.0,4647.07
17,2006-10-10,-0.06485355648535562,SHORT,2006-10-16,963.27,884.48,815.28,854.37,910.05,821.66,965.76,1087.52,1359.98,1393.9,884.88,880.81,884.88,4002.1699999999983,704.9136635814825,704.9136635814825,3458.9007506507805,0.5,442.44,5089.509999999999,0.5,442.44,5089.509999999999
18,2006-10-17,-0.09365558912386708,SHORT,2006-10-23,835.29,771.68,943.76,-5384.2,888.74,-7906.59,931.99,1032.79,-13023.42,1496.52,788.41,-4596.35,788.41,4790.579999999998,1506.7397930066954,1506.7397930066954,4965.640543657476,1.0,788.41,5877.919999999999,1.0,788.41,5877.919999999999
19,2006-10-24,-0.12280701754385966,SHORT,2006-10-30,807.04,773.6,863.23,1017.08,875.27,774.99,723.3,825.74,1283.56,1261.57,881.69,869.77,881.69,5672.269999999999,444.4012643373612,444.4012643373612,5410.041807994838,0.5,440.845,6318.764999999999,0.5,440.845,6318.764999999999
20,2006-10-31,-0.11937377690802348,SHORT,2006-11-06,736.96,629.71,680.49,824.22,-2361.18,962.44,732.3,-1687.45,1276.89,1238.96,727.28,199.11,727.28,6399.549999999998,717.1018164869197,717.1018164869197,6127.143624481758,0.5,363.64,6682.405,0.5,363.64,6682.405
21,2006-11-07,-0.11154985192497537,SHORT,2006-11-13,552.13,678.72,817.59,921.02,1021.25,-1741.53,-3604.53,821.93,1490.7,1319.32,900.39,1012.19,900.39,7299.939999999999,1172.7963755156202,1172.7963755156202,7299.9399999973775,1.0,900.39,7582.795,1.0,900.39,7582.795
22,2006-11-14,-0.11154985192497537,SHORT,2006-11-20,562.92,-4832.01,581.86,-7439.34,790.14,-2389.36,847.03,950.6,-26593.59,1162.41,734.17,-21291.92,734.17,8034.109999999999,963.8749999999818,1172.7963755156202,8263.81499999736,0.5,367.085,7949.88,1.0,734.17,8316.965
23,2006-11-21,-0.11154985192497537,SHORT,2006-11-27,852.73,796.15,897.81,1118.12,934.39,-5315.23,-15329.27,678.07,-22681.34,1696.07,1193.58,1346.06,1193.58,9227.689999999999,963.8749999999818,1172.7963755156202,9227.689999997341,0.5,596.79,8546.67,1.0,1193.58,9510.545
24,2006-11-28,-0.0954773869346734,SHORT,2006-12-04,828.84,771.05,-4828.39,1282.74,1018.36,909.15,912.68,1022.53,2256.06,-2312.28,1230.79,1375.68,1230.79,10458.48,-509.3966666666729,1510.1913707430626,8718.293333330668,0.0,0.0,8546.67,1.0,1230.79,10741.335
25,2006-12-05,-0.0954773869346734,SHORT,2006-12-11,962.91,893.52,414.48,1419.06,1154.56,1050.67,889.39,998.35,2648.83,2468.42,-3745.05,1330.36,-3745.05,6713.429999999999,-509.3966666666729,1510.1913707430626,8208.896666663995,0.0,-0.0,8546.67,1.0,-3745.05,6996.284999999999
26,2006-12-12,-0.0954773869346734,SHORT,2006-12-18,1058.8,991.64,780.96,933.18,1284.88,1181.4,-2212.46,861.28,1625.38,1552.81,986.07,1008.03,986.07,7699.499999999999,-509.3966666666729,1510.1913707430626,7699.499999997322,0.0,0.0,8546.67,1.0,986.07,7982.354999999999
27,2006-12-19,-1.0,SHORT,2006-12-25,850.2,801.09,732.98,851.86,729.64,114.73,718.9,837.47,1514.4,1438.68,884.38,979.4,884.38,8583.88,378.69588235293486,-59915326.894758046,8078.195882350257,0.5,442.19,8988.86,0.0,0.0,7982.354999999999
28,2006-12-26,-1.0,SHORT,2007-01-01,916.67,998.87,629.43,787.94,-3145.53,701.48,760.21,-6327.82,1573.48,-5065.37,-5125.87,1007.05,-5125.87,3458.0099999999993,378.69588235293486,-59915326.894758046,8456.891764703192,0.5,-2562.935,6425.925000000001,0.0,-0.0,7982.354999999999
29,2007-01-03,-1.0,SHORT,2007-01-08,1156.61,1148.11,-5763.92,1075.17,920.08,827.18,484.64,957.95,-9456.67,1485.95,-1100.66,918.24,-1100.66,2357.3499999999995,378.69588235293486,-59915326.894758046,8835.587647056127,0.5,-550.33,5875.595000000001,0.0,-0.0,7982.354999999999
30,2007-01-09,-1.0,SHORT,2007-01-15,-3367.13,804.19,-1847.16,1123.87,951.5,859.17,876.0,948.06,1691.48,1651.62,914.51,974.43,914.51,3271.8599999999997,378.69588235293486,-59915326.894758046,9214.283529409062,0.5,457.255,6332.850000000001,0.0,0.0,7982.354999999999
31,2007-01-16,-1.0,SHORT,2007-01-22,862.85,820.61,726.17,779.87,-10364.94,824.96,839.32,932.7,1777.52,1548.04,725.07,788.95,725.07,3996.93,378.69588235293486,-59915326.894758046,9592.979411761997,0.5,362.535,6695.385000000001,0.0,0.0,7982.354999999999
32,2007-01-23,-1.0,SHORT,2007-01-29,999.54,989.64,868.19,44.17,1027.09,904.53,676.26,-2629.87,1704.77,1637.12,843.39,902.74,843.39,4840.32,378.69588235293486,-59915326.894758046,9971.675294114932,0.5,421.695,7117.080000000001,0.0,0.0,7982.354999999999
33,2007-01-30,-1.0,SHORT,2007-02-05,573.65,602.48,-3383.15,1055.28,740.08,627.29,721.16,857.08,1223.57,1303.18,712.47,758.8,712.47,5552.79,378.69588235293486,-59915326.894758046,10350.371176467866,0.5,356.235,7473.3150000000005,0.0,0.0,7982.354999999999
34,2007-02-06,-1.0,SHORT,2007-02-12,879.25,-627.03,1166.92,-6423.29,965.12,-10479.58,-9420.27,974.93,1614.82,1554.32,760.54,-7239.47,760.54,6313.33,378.69588235293486,-59915326.894758046,10729.067058820801,0.5,380.27,7853.585000000001,0.0,0.0,7982.354999999999
35,2007-02-13,-1.0,SHORT,2007-02-19,766.15,792.07,-327.31,1168.01,803.29,-905.22,-950.45,841.19,1632.91,1573.74,575.7,595.83,575.7,6889.03,378.69588235293486,-59915326.894758046,11107.762941173736,0.5,287.85,8141.435000000001,0.0,0.0,7982.354999999999
36,2007-02-20,-1.0,SHORT,2007-02-26,-9166.61,779.9,815.29,-29828.2,-17152.22,731.85,688.82,-25268.54,1476.29,-23303.7,767.11,788.24,767.11,7656.139999999999,378.69588235293486,-59915326.894758046,11486.458823526671,0.5,383.555,8524.990000000002,0.0,0.0,7982.354999999999
37,2007-02-27,-1.0,SHORT,2007-03-05,899.54,-1379.03,-5226.76,1376.09,1217.01,-4285.96,-5251.49,1431.1,1843.79,1866.92,1197.32,1225.62,1197.32,8853.46,378.69588235293486,-59915326.894758046,11865.154705879606,0.5,598.66,9123.650000000001,0.0,0.0,7982.354999999999
