,Data_Date,Positioning_Diff,Signal,Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,Signal_PL,Signal_Total_PL,Fitted_PL,Fitted_PL_Forward,Signal_Total_PL_Fitted,Fitted_PL_Rule_Weight,Fitted_PL_Rule_Adj,Signal_Total_PL_Fitted_Rule,Fitted_PL_Forward_Rule_Weight,Fitted_PL_Forward_Rule_Adj,Fitted_Total_PL_Forward_Fitted_Rule
0,2006-06-13,-0.0771664868752247,LONG,2006-06-19,1060.54,1008.98,976.85,1083.04,1381.83,1215.22,1072.04,-750.11,1642.78,-1107.83,1143.21,1169.42,1169.42,1169.42,1085.4783361237878,1085.4783361237878,1085.4783361237878,1.0,1169.42,1169.42,1.0,1169.42,1169.42
1,2006-06-20,-0.14284387048822406,LONG,2006-06-26,1471.23,1416.54,1144.65,-503.17,1485.99,-253.56,1030.48,1189.0,558.13,1765.66,1213.95,-2119.9,-2119.9,-950.48,-74.14934461024677,-74.14934461024677,1011.328991513541,0.0,-0.0,1169.42,0.0,-0.0,1169.42
2,2006-06-27,-0.4038506802240738,LONG,2006-07-03,689.62,1147.25,1128.98,1283.8,1347.16,1175.94,997.51,1133.34,1882.88,1970.59,1201.06,1261.63,1261.63,311.1500000000001,953.267126667366,953.267126667366,1964.596118180907,0.5,630.815,1800.2350000000001,0.5,630.815,1800.2350000000001
3,2006-07-03,-0.13194351641498508,LONG,2006-07-10,383.32,1137.87,-14171.45,1314.62,1227.03,1085.12,-1323.12,1157.14,1602.93,-5277.89,-4128.4,1109.7,1109.7,1420.8500000000001,8.811715283411104,8.811715283411104,1973.4078334643182,0.5,554.85,2355.085,0.5,554.85,2355.085
4,2006-07-11,-0.2338211382113821,LONG,2006-07-17,1173.88,1101.42,1054.84,1111.18,1162.78,1019.65,835.02,955.91,-14312.87,1788.75,1060.47,1088.27,1088.27,2509.12,-24.367181990333847,-24.367181990333847,1949.0406514739843,0.0,0.0,2355.085,0.0,0.0,2355.085
5,2006-07-18,-0.2851911286672428,LONG,2006-07-24,1083.62,1010.37,945.82,-5818.36,1013.85,-5911.61,744.29,860.41,863.18,1638.94,889.04,-478.91,-478.91,2030.2099999999998,240.63504472985187,240.63504472985187,2189.675696203836,0.5,-239.455,2115.63,0.5,-239.455,2115.63
6,2006-07-25,-0.3966605579311749,LONG,2006-07-31,1131.02,733.38,1265.86,1423.17,1154.98,1056.58,829.5,929.66,-19207.96,1975.23,1096.66,1151.6,1151.6,3181.8099999999995,912.1718425687932,912.1718425687932,3101.8475387726294,0.5,575.8,2691.4300000000003,0.5,575.8,2691.4300000000003
7,2006-08-01,-0.2011816543160425,LONG,2006-08-07,1101.69,1097.46,-3110.08,1236.99,1204.23,1070.59,848.84,949.54,2010.62,603.24,-2886.48,1163.04,1163.04,4344.849999999999,-139.69834624480245,-139.69834624480245,2962.149192527827,0.0,0.0,2691.4300000000003,0.0,0.0,2691.4300000000003
8,2006-08-08,-0.2513742385975338,LONG,2006-08-14,1136.79,1134.19,931.71,1034.85,1214.95,1112.08,-3512.56,927.81,1931.6,1929.77,1024.78,-2522.13,-2522.13,1822.7199999999993,58.39415270159407,58.39415270159407,3020.543345229421,0.5,-1261.065,1430.3650000000002,0.5,-1261.065,1430.3650000000002
9,2006-08-15,-0.3846717621191498,LONG,2006-08-21,1045.2,1042.76,-3206.71,1034.52,1090.31,965.55,751.68,845.2,1732.84,1647.45,-975.2,990.71,990.71,2813.4299999999994,841.6534298583674,841.6534298583674,3862.1967750877884,0.5,495.355,1925.7200000000003,0.5,495.355,1925.7200000000003
10,2006-08-22,-0.2386583069111021,LONG,2006-08-28,911.5,904.01,984.49,1094.53,1134.21,-4198.33,-5215.81,932.07,1872.4,1910.66,1179.07,1221.06,1221.06,4034.4899999999993,-2.6505937778410953,-2.6505937778410953,3859.5461813099473,0.0,0.0,1925.7200000000003,0.0,0.0,1925.7200000000003
11,2006-08-29,-0.3824602122015915,LONG,2006-09-04,-2539.71,997.82,-5173.18,998.54,-14484.43,1043.09,812.23,-3106.27,1698.87,-23453.46,-3485.23,1066.31,1066.31,5100.799999999999,828.4269251750065,828.4269251750065,4687.973106484954,0.5,533.155,2458.875,0.5,533.155,2458.875
12,2006-09-05,-0.4360319903120822,LONG,2006-09-11,964.92,946.6,943.98,1077.68,1216.68,1088.11,-15822.58,1059.17,1504.18,1540.61,983.22,1001.15,1001.15,6101.949999999999,1120.0775642814815,1120.0775642814815,5808.050670766435,1.0,1001.15,3460.025,1.0,1001.15,3460.025
13,2006-09-12,-0.5437858439854018,LONG,2006-09-18,885.3,885.11,902.85,-305.46,1098.39,978.25,1029.72,1140.63,-2860.66,1455.2,1023.23,1051.96,1051.96,7153.909999999999,1205.6791318760997,1205.6791318760997,7013.729802642535,1.0,1051.96,4511.985000000001,1.0,1051.96,4511.985000000001
14,2006-09-19,-0.6299613080379431,LONG,2006-09-25,885.41,884.22,-742.11,1038.71,1018.6,911.3,1049.27,428.46,1341.53,1322.33,928.7,983.35,983.35,8137.259999999999,369.7569910100401,369.7569910100401,7383.486793652575,0.5,491.675,5003.660000000001,0.5,491.675,5003.660000000001
15,2006-09-26,-0.5036442867610196,LONG,2006-10-02,1038.04,1036.85,-4769.15,952.51,1179.26,1057.92,1082.4,1225.36,1484.18,-3963.18,-5871.06,935.37,935.37,9072.63,1294.1931174516621,1294.1931174516621,8677.679911104238,1.0,935.37,5939.030000000001,1.0,935.37,5939.030000000001
16,2006-10-03,-0.5718722183760261,LONG,2006-10-09,-2748.39,902.45,813.13,977.1,977.56,-3535.79,912.07,1031.77,1395.81,1365.03,905.74,935.39,935.39,10008.019999999999,1030.4966614988307,1030.4966614988307,9708.176572603068,1.0,935.39,6874.420000000001,1.0,935.39,6874.420000000001
17,2006-10-10,-0.7523390488515043,LONG,2006-10-16,963.27,884.48,815.28,854.37,910.05,821.66,965.76,1087.52,1359.98,1393.9,884.88,880.81,880.81,10888.829999999998,-764.6704198476373,-764.6704198476373,8943.506152755432,0.0,0.0,6874.420000000001,0.0,0.0,6874.420000000001
18,2006-10-17,-0.7360486944649867,LONG,2006-10-23,835.29,771.68,943.76,-5384.2,888.74,-7906.59,931.99,1032.79,-13023.42,1496.52,788.41,-4596.35,-4596.35,6292.479999999998,-850.4803538033402,-850.4803538033402,8093.0257989520915,0.0,-0.0,6874.420000000001,0.0,-0.0,6874.420000000001
19,2006-10-24,-0.8067053271664357,LONG,2006-10-30,807.04,773.6,863.23,1017.08,875.27,774.99,723.3,825.74,1283.56,1261.57,881.69,869.77,869.77,7162.249999999998,1093.6175303767704,1093.6175303767704,9186.643329328861,1.0,869.77,7744.1900000000005,1.0,869.77,7744.1900000000005
20,2006-10-31,-0.7863702119630165,LONG,2006-11-06,736.96,629.71,680.49,824.22,-2361.18,962.44,732.3,-1687.45,1276.89,1238.96,727.28,199.11,199.11,7361.359999999998,38.06706361297893,38.06706361297893,9224.71039294184,0.5,99.555,7843.745000000001,0.5,99.555,7843.745000000001
21,2006-11-07,-0.7349108456119526,LONG,2006-11-13,552.13,678.72,817.59,921.02,1021.25,-1741.53,-3604.53,821.93,1490.7,1319.32,900.39,1012.19,1012.19,8373.549999999997,-851.1603929279063,-851.1603929279063,8373.550000013935,0.0,0.0,7843.745000000001,0.0,0.0,7843.745000000001
22,2006-11-14,-0.8387866035419955,LONG,2006-11-20,562.92,-4832.01,581.86,-7439.34,790.14,-2389.36,847.03,950.6,-26593.59,1162.41,734.17,-21291.92,-21291.92,-12918.37,-3414.1573026503975,4039.6015997476065,4959.392697363537,0.0,-0.0,7843.745000000001,1.0,-21291.92,-13448.174999999997
23,2006-11-21,-0.813664825726371,LONG,2006-11-27,852.73,796.15,897.81,1118.12,934.39,-5315.23,-15329.27,678.07,-22681.34,1696.07,1193.58,1346.06,1346.06,-11572.310000000001,-3973.7297503277514,1584.5101885393833,985.6629470357857,0.0,0.0,7843.745000000001,1.0,1346.06,-12102.114999999998
24,2006-11-28,-0.3660838503478097,LONG,2006-12-04,828.84,771.05,-4828.39,1282.74,1018.36,909.15,912.68,1022.53,2256.06,-2312.28,1230.79,1375.68,1375.68,-10196.630000000001,1050.5104191028804,729.043108589366,2036.173366138666,1.0,1375.68,9219.425000000001,0.5,687.84,-11414.274999999998
25,2006-12-05,-0.20049306165138295,LONG,2006-12-11,962.91,893.52,414.48,1419.06,1154.56,1050.67,889.39,998.35,2648.83,2468.42,-3745.05,1330.36,1330.36,-8866.27,1010.9063590723235,-141.3710657774518,3047.0797252109896,1.0,1330.36,10549.785000000002,0.0,0.0,-11414.274999999998
26,2006-12-12,-0.172079581299452,LONG,2006-12-18,1058.8,991.64,780.96,933.18,1284.88,1181.4,-2212.46,861.28,1625.38,1552.81,986.07,1008.03,1008.03,-7858.240000000001,1124.449097356679,-169.07209331641297,4171.528822567669,1.0,1008.03,11557.815000000002,0.0,0.0,-11414.274999999998
27,2006-12-19,-0.21091255154911706,LONG,2006-12-25,850.2,801.09,732.98,851.86,729.64,114.73,718.9,837.47,1514.4,1438.68,884.38,979.4,979.4,-6878.840000000001,1069.8444703749265,-112.17321828738659,5241.373292942595,1.0,979.4,12537.215000000002,0.0,0.0,-11414.274999999998
28,2006-12-26,-0.21163988076626436,LONG,2007-01-01,916.67,998.87,629.43,787.94,-3145.53,701.48,760.21,-6327.82,1573.48,-5065.37,-5125.87,1007.05,1007.05,-5871.790000000001,1075.0750719104544,-109.84550873754324,6316.4483648530495,1.0,1007.05,13544.265000000001,0.0,0.0,-11414.274999999998
29,2007-01-03,-0.5555100461920041,LONG,2007-01-08,1156.61,1148.11,-5763.92,1075.17,920.08,827.18,484.64,957.95,-9456.67,1485.95,-1100.66,918.24,918.24,-4953.550000000001,483.3404307032397,1144.5228439706207,6799.788795556289,0.5,459.12,14003.385000000002,1.0,918.24,-10496.034999999998
30,2007-01-09,-0.7996182845480828,LONG,2007-01-15,-3367.13,804.19,-1847.16,1123.87,951.5,859.17,876.0,948.06,1691.48,1651.62,914.51,974.43,974.43,-3979.1200000000013,-3838.3742393670836,665.4991849072521,2961.4145561892055,0.0,0.0,14003.385000000002,0.5,487.215,-10008.819999999998
