,Data_Date,Positioning_Diff,Signal,Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,Signal_PL,Signal_Total_PL,Fitted_PL,Fitted_PL_Forward,Signal_Total_PL_Fitted,Fitted_PL_Rule_Weight,Fitted_PL_Rule_Adj,Signal_Total_PL_Fitted_Rule,Fitted_PL_Forward_Rule_Weight,Fitted_PL_Forward_Rule_Adj,Fitted_Total_PL_Forward_Fitted_Rule
0,2006-06-13,-0.055609433294921684,LONG,2006-06-19,1060.54,1008.98,976.85,1083.04,1381.83,1215.22,1072.04,-750.11,1642.78,-1107.83,1143.21,1169.42,1083.04,1083.04,-2036.635955186463,-2036.635955186463,-2036.635955186463,0.0,0.0,0.0,0.0,0.0,0.0
1,2006-06-20,0.04637291131105403,SHORT,2006-06-26,1471.23,1416.54,1144.65,-503.17,1485.99,-253.56,1030.48,1189.0,558.13,1765.66,1213.95,-2119.9,1144.65,2227.69,-4079.982060396632,-4079.982060396632,-6116.618015583095,0.0,0.0,0.0,0.0,0.0,0.0
2,2006-06-27,0.16526284124238555,SHORT,2006-07-03,689.62,1147.25,1128.98,1283.8,1347.16,1175.94,997.51,1133.34,1882.88,1970.59,1201.06,1261.63,1128.98,3356.67,99.46063179063094,99.46063179063094,-6017.157383792464,0.5,564.49,564.49,0.5,564.49,564.49
3,2006-07-03,0.02414209987910354,SHORT,2006-07-10,383.32,1137.87,-14171.45,1314.62,1227.03,1085.12,-1323.12,1157.14,1602.93,-5277.89,-4128.4,1109.7,-14171.45,-10814.78,-4823.622023596406,-4823.622023596406,-10840.779407388869,0.0,-0.0,564.49,0.0,-0.0,564.49
4,2006-07-11,-0.08025544571778492,LONG,2006-07-17,1173.88,1101.42,1054.84,1111.18,1162.78,1019.65,835.02,955.91,-14312.87,1788.75,1060.47,1088.27,1111.18,-9703.6,2516.1878877774825,2516.1878877774825,-8324.591519611386,1.0,1111.18,1675.67,1.0,1111.18,1675.67
5,2006-07-18,0.4208648628349325,SHORT,2006-07-24,1083.62,1010.37,945.82,-5818.36,1013.85,-5911.61,744.29,860.41,863.18,1638.94,889.04,-478.91,945.82,-8757.78,-601.8396419741466,-601.8396419741466,-8926.431161585533,0.0,0.0,1675.67,0.0,0.0,1675.67
6,2006-07-25,0.4722984377028606,SHORT,2006-07-31,1131.02,733.38,1265.86,1423.17,1154.98,1056.58,829.5,929.66,-19207.96,1975.23,1096.66,1151.6,1265.86,-7491.920000000001,-705.245953009724,-705.245953009724,-9631.677114595257,0.0,0.0,1675.67,0.0,0.0,1675.67
7,2006-08-01,0.08201227580437248,SHORT,2006-08-07,1101.69,1097.46,-3110.08,1236.99,1204.23,1070.59,848.84,949.54,2010.62,603.24,-2886.48,1163.04,-3110.08,-10602.0,-2581.0423299001636,-2581.0423299001636,-12212.71944449542,0.0,-0.0,1675.67,0.0,-0.0,1675.67
8,2006-08-08,0.06377388872409845,SHORT,2006-08-14,1136.79,1134.19,931.71,1034.85,1214.95,1112.08,-3512.56,927.81,1931.6,1929.77,1024.78,-2522.13,931.71,-9670.29,-3364.5779985185063,-3364.5779985185063,-15577.297443013926,0.0,0.0,1675.67,0.0,0.0,1675.67
9,2006-08-15,0.18470902003692813,SHORT,2006-08-21,1045.2,1042.76,-3206.71,1034.52,1090.31,965.55,751.68,845.2,1732.84,1647.45,-975.2,990.71,-3206.71,-12877.0,387.1323156936687,387.1323156936687,-15190.165127320257,0.5,-1603.355,72.31500000000005,0.5,-1603.355,72.31500000000005
10,2006-08-22,0.3178068119803537,SHORT,2006-08-28,911.5,904.01,984.49,1094.53,1134.21,-4198.33,-5215.81,932.07,1872.4,1910.66,1179.07,1221.06,984.49,-11892.51,27.142291740190558,27.142291740190558,-15163.022835580066,0.5,492.245,564.5600000000001,0.5,492.245,564.5600000000001
11,2006-08-29,0.4260018299622849,SHORT,2006-09-04,-2539.71,997.82,-5173.18,998.54,-14484.43,1043.09,812.23,-3106.27,1698.87,-23453.46,-3485.23,1066.31,-5173.18,-17065.690000000002,-616.7896906798405,-616.7896906798405,-15779.812526259906,0.0,-0.0,564.5600000000001,0.0,-0.0,564.5600000000001
12,2006-09-05,0.342950247691776,SHORT,2006-09-11,964.92,946.6,943.98,1077.68,1216.68,1088.11,-15822.58,1059.17,1504.18,1540.61,983.22,1001.15,943.98,-16121.710000000003,-181.4712247162197,-181.4712247162197,-15961.283750976127,0.0,0.0,564.5600000000001,0.0,0.0,564.5600000000001
13,2006-09-12,0.5213440793188668,SHORT,2006-09-18,885.3,885.11,902.85,-305.46,1098.39,978.25,1029.72,1140.63,-2860.66,1455.2,1023.23,1051.96,902.85,-15218.860000000002,-722.0099284048329,-722.0099284048329,-16683.29367938096,0.0,0.0,564.5600000000001,0.0,0.0,564.5600000000001
14,2006-09-19,0.4892528478819789,SHORT,2006-09-25,885.41,884.22,-742.11,1038.71,1018.6,911.3,1049.27,428.46,1341.53,1322.33,928.7,983.35,-742.11,-15960.970000000003,-721.7419022375843,-721.7419022375843,-17405.035581618544,0.0,-0.0,564.5600000000001,0.0,-0.0,564.5600000000001
15,2006-09-26,0.5605933389308704,SHORT,2006-10-02,1038.04,1036.85,-4769.15,952.51,1179.26,1057.92,1082.4,1225.36,1484.18,-3963.18,-5871.06,935.37,-4769.15,-20730.120000000003,-578.1165514584472,-578.1165514584472,-17983.15213307699,0.0,-0.0,564.5600000000001,0.0,-0.0,564.5600000000001
16,2006-10-03,0.5863959907030796,SHORT,2006-10-09,-2748.39,902.45,813.13,977.1,977.56,-3535.79,912.07,1031.77,1395.81,1365.03,905.74,935.39,813.13,-19916.99,-266.91776791962275,-266.91776791962275,-18250.069900996612,0.0,0.0,564.5600000000001,0.0,0.0,564.5600000000001
17,2006-10-10,0.633835496297612,SHORT,2006-10-16,963.27,884.48,815.28,854.37,910.05,821.66,965.76,1087.52,1359.98,1393.9,884.88,880.81,815.28,-19101.710000000003,1386.8604043017813,1386.8604043017813,-16863.20949669483,1.0,815.28,1379.8400000000001,1.0,815.28,1379.8400000000001
18,2006-10-17,0.5883261151893161,SHORT,2006-10-23,835.29,771.68,943.76,-5384.2,888.74,-7906.59,931.99,1032.79,-13023.42,1496.52,788.41,-4596.35,943.76,-18157.950000000004,-232.05257261470615,-232.05257261470615,-17095.262069309538,0.0,0.0,1379.8400000000001,0.0,0.0,1379.8400000000001
19,2006-10-24,0.6033375463690824,SHORT,2006-10-30,807.04,773.6,863.23,1017.08,875.27,774.99,723.3,825.74,1283.56,1261.57,881.69,869.77,863.23,-17294.720000000005,114.14820908336333,114.14820908336333,-16981.113860226174,0.5,431.615,1811.4550000000002,0.5,431.615,1811.4550000000002
20,2006-10-31,0.24016628564702094,SHORT,2006-11-06,736.96,629.71,680.49,824.22,-2361.18,962.44,732.3,-1687.45,1276.89,1238.96,727.28,199.11,680.49,-16614.230000000003,582.1182841548525,582.1182841548525,-16398.99557607132,0.5,340.245,2151.7000000000003,0.5,340.245,2151.7000000000003
21,2006-11-07,0.2305589105822705,SHORT,2006-11-13,552.13,678.72,817.59,921.02,1021.25,-1741.53,-3604.53,821.93,1490.7,1319.32,900.39,1012.19,817.59,-15796.640000000003,602.3555760594409,602.3555760594409,-15796.64000001188,0.5,408.795,2560.4950000000003,0.5,408.795,2560.4950000000003
22,2006-11-14,0.20423751285417707,SHORT,2006-11-20,562.92,-4832.01,581.86,-7439.34,790.14,-2389.36,847.03,950.6,-26593.59,1162.41,734.17,-21291.92,581.86,-15214.780000000002,551.8452270767928,550.5060728309545,-15244.794772935087,0.5,290.93,2851.425,0.5,290.93,2851.425
