,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,NonComm_Pos,NonComm_Diff,NonComm_Signal1,Comm_Pos,Comm_Diff,Comm_Signal1
0,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2014-06-10,10.06.2014,232741,CME,0,232,120071,17446,51297,815,83133,37105,101394,89217,18677,30854,120071,17446,51297,815,83133,37105,101394,89217,18677,30854,0,0,0,0,0,0,0,0,0,0,4086.0,3495.0,5837.0,123.0,-856.0,1890.0,2762.0,7850.0,1324.0,-3764.0,100,14.5,42.7,0.7,69.2,30.9,84.4,74.3,15.6,25.7,100,14.5,42.7,0.7,69.2,30.9,84.4,74.3,15.6,25.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,15,43,8,18,17,35,66,86,15,43,8,18,17,35,66,0,0,0,0,0,0,0,0,58.3,25.2,70.1,37.8,58.3,24.4,70.1,36.9,58.3,25.2,70.1,37.8,58.3,24.4,70.1,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF AUD 100,000)",-33851,-0.492428319974,LONG,46028,0.382807431927,SHORT
1,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2014-11-04,04.11.2014,86465C,NYME,1,864,15464,2150,7829,175,13089,7410,15414,15414,50,50,15464,2150,7829,175,13089,7410,15414,15414,50,50,0,0,0,0,0,0,0,0,0,0,150.0,875.0,100.0,25.0,-750.0,25.0,150.0,150.0,0.0,0.0,100,13.9,50.6,1.1,84.6,47.9,99.7,99.7,0.3,0.3,100,13.9,50.6,1.1,84.6,47.9,99.7,99.7,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,7,3,3,33,19,41,25,47,7,3,3,33,19,41,25,0,0,0,0,0,0,0,0,51.3,75.0,67.3,88.0,47.4,73.9,62.9,81.8,51.3,75.0,67.3,88.0,47.4,73.9,62.9,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 BARRELS)",-5679,-0.569095099709,LONG,5679,0.277037904288,SHORT
2,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2016-01-12,1.12.2016,00639V,IFED,1,6,8745,1585,7464,200,6960,1081,8745,8745,0,0,8745,1585,7464,200,6960,1081,8745,8745,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,18.1,85.4,2.3,79.6,12.4,100.0,100.0,0.0,0.0,100,18.1,85.4,2.3,79.6,12.4,100.0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4,8,2,7,2,12,11,20,4,8,2,7,2,12,11,0,0,0,0,0,0,0,0,71.6,83.4,92.6,96.7,71.0,83.4,88.0,91.4,71.6,83.4,92.6,96.7,71.0,83.4,88.0,91.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(10 SRECs),-5879,-0.649685048072,LONG,5879,0.731127969158,SHORT
3,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2016-01-19,1.19.2016,0063A3,IFED,1,6,7625,3900,5825,100,3625,1700,7625,7625,0,0,7625,3900,5825,100,3625,1700,7625,7625,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,51.1,76.4,1.3,47.5,22.3,100.0,100.0,0.0,0.0,100,51.1,76.4,1.3,47.5,22.3,100.0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,7,7,1,4,3,12,10,20,7,7,1,4,3,12,10,0,0,0,0,0,0,0,0,73.8,80.7,95.4,98.4,73.8,80.7,95.4,96.1,73.8,80.7,95.4,98.4,73.8,80.7,95.4,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(10 SRECs),-1925,-0.19794344473,LONG,1925,0.361502347418,SHORT
4,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2016-01-26,1.26.2016,020604,CBT ,0,20,679621,63580,128073,1400,506063,441136,571043,570609,108578,109012,679621,63580,128073,1400,506063,441136,571043,570609,108578,109012,0,0,0,0,0,0,0,0,0,0,18453.0,6162.0,3488.0,-1471.0,15607.0,14106.0,20298.0,16123.0,-1845.0,2330.0,100,9.4,18.8,0.2,74.5,64.9,84.0,84.0,16.0,16.0,100,9.4,18.8,0.2,74.5,64.9,84.0,84.0,16.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,15,13,6,55,58,72,75,103,15,13,6,55,58,72,75,0,0,0,0,0,0,0,0,23.8,34.2,37.4,48.6,20.8,34.2,31.1,48.5,23.8,34.2,37.4,48.6,20.8,34.2,31.1,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 FACE VALUE)",-64493,-0.336509211961,LONG,64927,0.0685463139214,SHORT
5,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2016-02-02,2.2.2016,02165K,NYME,1,21,10984,1338,1305,521,8825,8864,10684,10690,300,294,10984,1338,1305,521,8825,8864,10684,10690,300,294,0,0,0,0,0,0,0,0,0,0,741.0,34.0,62.0,120.0,593.0,579.0,747.0,761.0,-6.0,-20.0,100,12.2,11.9,4.7,80.3,80.7,97.3,97.3,2.7,2.7,100,12.2,11.9,4.7,80.3,80.7,97.3,97.3,2.7,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,6,5,8,36,40,45,50,53,6,5,8,36,40,45,50,0,0,0,0,0,0,0,0,34.8,42.5,52.0,58.8,16.8,27.2,26.0,34.4,34.8,42.5,52.0,58.8,16.8,27.2,26.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 METRIC TONS)",33,0.0124858115778,SHORT,-39,-0.00220476002035,LONG
6,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2016-02-09,2.9.2016,021A35,NYME,1,21,4618,907,1559,162,2977,2663,4046,4384,572,234,4618,907,1559,162,2977,2663,4046,4384,572,234,0,0,0,0,0,0,0,0,0,0,-1018.0,-75.0,-947.0,-8.0,-829.0,92.0,-912.0,-863.0,-106.0,-155.0,100,19.6,33.8,3.5,64.5,57.7,87.6,94.9,12.4,5.1,100,19.6,33.8,3.5,64.5,57.7,87.6,94.9,12.4,5.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,7,6,5,22,20,31,29,43,7,6,5,22,20,31,29,0,0,0,0,0,0,0,0,50.0,47.4,64.0,66.2,49.7,46.1,61.7,62.1,50.0,47.4,64.0,66.2,49.7,46.1,61.7,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 METRIC TONS),-652,-0.264395782644,LONG,314,0.0556737588652,SHORT
7,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2016-02-16,2.16.2016,023392,IFED,1,23,356350,95272,92676,28882,146176,158189,270330,279747,86020,76603,356350,95272,92676,28882,146176,158189,270330,279747,86020,76603,0,0,0,0,0,0,0,0,0,0,102130.0,-4140.0,-25634.0,12567.0,9737.0,39114.0,18164.0,26047.0,83966.0,76083.0,100,26.7,26.0,8.1,41.0,44.4,75.9,78.5,24.1,21.5,100,26.7,26.0,8.1,41.0,44.4,75.9,78.5,24.1,21.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,19,13,19,40,36,68,59,81,19,13,19,40,36,68,59,0,0,0,0,0,0,0,0,38.0,36.4,48.4,52.8,31.0,33.2,39.3,44.2,38.0,36.4,48.4,52.8,31.0,33.2,39.3,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mmbtu,2596,0.0138123310703,SHORT,-12013,-0.0394690585317,LONG
8,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2016-02-23,2.23.2016,023396,IFED,1,23,809827,1703,10027,16802,775055,776873,793560,803702,16267,6125,809827,1703,10027,16802,775055,776873,793560,803702,16267,6125,0,0,0,0,0,0,0,0,0,0,5584.0,780.0,-4499.0,-27.0,3028.0,9250.0,3781.0,4724.0,1803.0,860.0,100,0.2,1.2,2.1,95.7,95.9,98.0,99.2,2.0,0.8,100,0.2,1.2,2.1,95.7,95.9,98.0,99.2,2.0,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,3,6,4,53,35,59,42,63,3,6,4,53,35,59,42,0,0,0,0,0,0,0,0,33.9,45.6,55.3,72.9,31.4,44.6,47.9,70.0,33.9,45.6,55.3,72.9,31.4,44.6,47.9,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",-8324,-0.709633418585,LONG,-1818,-0.00117144609801,LONG
9,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2016-03-01,3.1.2016,02339Q,IFED,1,23,24766,0,1488,0,22696,22534,22696,24022,2070,744,24766,0,1488,0,22696,22534,22696,24022,2070,744,0,0,0,0,0,0,0,0,0,0,5584.0,780.0,-4499.0,-27.0,3028.0,9250.0,3781.0,4724.0,1803.0,860.0,100,0.0,6.0,0.0,91.6,91.0,91.6,97.0,8.4,3.0,100,0.0,6.0,0.0,91.6,91.0,91.6,97.0,8.4,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,3,0,10,11,10,14,20,0,3,0,10,11,10,14,0,0,0,0,0,0,0,0,75.7,65.1,90.1,88.3,72.1,65.1,81.9,82.9,75.7,65.1,90.1,88.3,72.1,65.1,81.9,82.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mmbtu,-1488,-1.0,LONG,162,0.00358169356622,SHORT
