,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Pos,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Pos,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Pos,Asset_Mgr_Diff,Asset_Mgr_Signal1
0,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-06-13,13.06.2006,043602,CBT,0,43,1912279,363617,159308,62216,442161,626856,176824,382345,341324,30691,188886,134378,678,1647418,1532275,264861,380004,,,,,,,,,,,,,,,,,,100,19.0,8.3,3.3,23.1,32.8,9.2,20.0,17.8,1.6,9.9,7.0,0.0,86.1,80.1,13.9,19.9,293,32.0,37.0,27.0,37.0,33.0,42.0,53.0,60.0,33.0,13.0,28.0,4.0,186.0,213.0,25.0,28.4,36.1,36.1,22.5,25.9,32.5,32.2,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,41021,0.0566847550469,SHORT,204309,0.390704211885,SHORT,-184695,-0.17277087268,SHORT
1,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-06-20,20.06.2006,043602,CBT,0,43,2097072,423742,137591,62130,467389,767523,172051,436801,422983,24499,234401,114493,610,1821623,1701880,275449,395192,184793.0,60125.0,-21717.0,-86.0,25228.0,140667.0,-4773.0,54456.0,81659.0,-6192.0,45515.0,-19885.0,-68.0,174205.0,169605.0,10588.0,15188.0,100,20.2,6.6,3.0,22.3,36.6,8.2,20.8,20.2,1.2,11.2,5.5,0.0,86.9,81.2,13.1,18.8,296,36.0,35.0,19.0,38.0,33.0,43.0,53.0,59.0,34.0,21.0,21.0,4.0,196.0,199.0,25.9,34.4,37.0,42.4,23.4,33.3,33.6,39.9,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,13818,0.0160714784178,SHORT,286151,0.509770492738,SHORT,-300134,-0.243040799668,SHORT
2,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-06-27,27.06.2006,043602,CBT,0,43,2194364,466974,158199,53812,485628,841934,180807,447229,419482,24603,267537,124282,1075,1927665,1804194,266699,390170,97292.0,43232.0,20608.0,-8318.0,18239.0,74411.0,8756.0,10428.0,-3501.0,104.0,33136.0,9789.0,465.0,106042.0,102314.0,-8750.0,-5022.0,100,21.3,7.2,2.5,22.1,38.4,8.2,20.4,19.1,1.1,12.2,5.7,0.0,87.8,82.2,12.2,17.8,293,36.0,32.0,15.0,38.0,34.0,42.0,53.0,56.0,37.0,23.0,20.0,5.0,193.0,199.0,25.0,35.5,37.2,44.0,22.9,34.5,33.9,41.5,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,27747,0.0320141315848,SHORT,308775,0.49390328757,SHORT,-356306,-0.268391231445,SHORT
3,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-07-03,03.07.2006,043602,CBT,0,43,2136459,453011,149581,59087,504083,834706,182145,384501,374876,24561,274541,119197,1031,1882960,1745184,253499,391275,-57905.0,-13963.0,-8618.0,5275.0,18455.0,-7228.0,1338.0,-62728.0,-44606.0,-42.0,7004.0,-5085.0,-44.0,-44705.0,-59010.0,-13200.0,1105.0,100,21.2,7.0,2.8,23.6,39.1,8.5,18.0,17.5,1.1,12.9,5.6,0.0,88.1,81.7,11.9,18.3,290,31.0,35.0,19.0,39.0,33.0,41.0,44.0,64.0,36.0,25.0,18.0,5.0,186.0,203.0,26.0,34.2,38.8,43.2,24.0,32.6,35.4,40.6,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,9625,0.012674863737,SHORT,303430,0.503541367957,SHORT,-330623,-0.246956764658,SHORT
4,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-07-11,11.07.2006,043602,CBT,0,43,2112145,393774,173963,74010,539788,775718,175256,392834,355010,23135,248222,148117,2910,1849929,1728119,262216,384026,-24314.0,-59237.0,24382.0,14923.0,35705.0,-58988.0,-6889.0,8333.0,-19866.0,-1426.0,-26319.0,28920.0,1879.0,-33031.0,-17065.0,8717.0,-7249.0,100,18.6,8.2,3.5,25.6,36.7,8.3,18.6,16.8,1.1,11.8,7.0,0.1,87.6,81.8,12.4,18.2,291,27.0,42.0,20.0,39.0,35.0,42.0,47.0,58.0,41.0,22.0,21.0,5.0,192.0,207.0,25.9,30.1,39.0,38.6,23.0,28.7,35.4,36.5,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,37824,0.0505773931462,SHORT,219811,0.387170468016,SHORT,-235930,-0.179345438181,SHORT
5,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-07-18,18.07.2006,043602,CBT,0,43,2101811,412390,139963,61921,533853,781213,183310,407452,383280,21669,224937,154175,2271,1847803,1727802,254008,374009,-10334.0,18616.0,-34000.0,-12089.0,-5935.0,5495.0,8054.0,14618.0,28270.0,-1466.0,-23285.0,6058.0,-639.0,-2126.0,-317.0,-8208.0,-10017.0,100,19.6,6.7,2.9,25.4,37.2,8.7,19.4,18.2,1.0,10.7,7.3,0.1,87.9,82.2,12.1,17.8,290,35.0,33.0,22.0,37.0,38.0,44.0,49.0,54.0,35.0,18.0,26.0,6.0,191.0,206.0,24.9,29.9,37.6,39.3,22.5,28.4,34.5,37.6,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,24172,0.0305691435278,SHORT,272427,0.493211768561,SHORT,-247360,-0.188097023267,SHORT
6,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-07-25,25.07.2006,043602,CBT,0,43,2023096,363089,158562,58186,515087,775706,185176,387581,272610,36415,209890,153665,955,1756379,1641275,266717,381821,-78715.0,-49301.0,18599.0,-3735.0,-18766.0,-5507.0,1866.0,-19871.0,-110670.0,14746.0,-15047.0,-510.0,-1316.0,-91424.0,-86527.0,12709.0,7812.0,100,17.9,7.8,2.9,25.5,38.3,9.2,19.2,13.5,1.8,10.4,7.6,0.0,86.8,81.1,13.2,18.9,278,32.0,32.0,22.0,39.0,37.0,43.0,50.0,52.0,38.0,12.0,25.0,6.0,180.0,204.0,24.2,30.3,37.0,38.9,21.9,28.8,34.0,36.0,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,114971,0.174148087447,SHORT,204527,0.392076311557,SHORT,-260619,-0.201906115078,SHORT
7,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-08-01,01.08.2006,043602,CBT,0,43,2118976,363161,199176,73828,528219,792698,183879,413706,249006,69535,206774,174244,1466,1840568,1743832,278408,375144,95880.0,72.0,40614.0,15642.0,13132.0,16992.0,-1297.0,26125.0,-23604.0,33120.0,-3116.0,20579.0,511.0,84189.0,102557.0,11691.0,-6677.0,100,17.1,9.4,3.5,24.9,37.4,8.7,19.5,11.8,3.3,9.8,8.2,0.1,86.9,82.3,13.1,17.7,287,31.0,42.0,22.0,39.0,36.0,45.0,46.0,59.0,45.0,13.0,22.0,6.0,191.0,211.0,24.1,30.0,36.7,38.5,21.7,28.3,33.6,35.8,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,164700,0.248524245826,SHORT,163985,0.29161339197,SHORT,-264479,-0.200223783932,SHORT
8,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-08-08,08.08.2006,043602,CBT,0,43,2197120,344594,185369,102698,515298,838663,195341,474961,264382,87807,165511,136549,2404,1888614,1813213,308506,383907,78144.0,-18567.0,-13807.0,28870.0,-12921.0,45965.0,11462.0,61255.0,15376.0,18272.0,-41263.0,-37695.0,938.0,48046.0,69381.0,30098.0,8763.0,100,15.7,8.4,4.7,23.5,38.2,8.9,21.6,12.0,4.0,7.5,6.2,0.1,86.0,82.5,14.0,17.5,292,34.0,42.0,29.0,34.0,42.0,44.0,53.0,51.0,51.0,13.0,24.0,5.0,198.0,223.0,24.3,30.5,34.9,38.2,21.4,28.8,31.0,35.7,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,210579,0.284819089381,SHORT,159225,0.300445502799,SHORT,-323365,-0.238828887981,SHORT
9,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-08-15,15.08.2006,043602,CBT,0,43,2259869,344891,182228,104387,476730,939842,203141,529094,251374,95999,167950,99460,3438,1925630,1879869,334239,380000,62749.0,297.0,-3141.0,1689.0,-38568.0,101179.0,7800.0,54133.0,-13008.0,8192.0,2439.0,-37089.0,1034.0,37016.0,66656.0,25733.0,-3907.0,100,15.3,8.1,4.6,21.1,41.6,9.0,23.4,11.1,4.2,7.4,4.4,0.2,85.2,83.2,14.8,16.8,308,33.0,45.0,31.0,36.0,41.0,45.0,57.0,56.0,58.0,20.0,20.0,5.0,215.0,232.0,22.2,34.7,32.1,41.4,19.6,32.8,28.3,38.2,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,277720,0.355837779384,SHORT,162663,0.308588762689,SHORT,-463112,-0.32692443448,SHORT
