,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Pos,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Pos,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Pos,Asset_Mgr_Diff,Asset_Mgr_Signal1
0,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-02-10,10.02.2009,089741,CME,0,89,15753,14357,13414,0,0,0,0,287,676,0,474,198,0,15118,14288,635,1465,,,,,,,,,,,,,,,,,,100,91.1,85.2,0.0,0.0,0.0,0.0,1.8,4.3,0.0,3.0,1.3,0.0,96.0,90.7,4.0,9.3,21,10.0,5.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.0,8.0,74.0,84.0,90.2,90.7,74.0,84.0,90.2,90.7,"(CONTRACTS OF RUB 2,500,000)",F15,FutOnly,-389,-0.403946002077,LONG,943,0.0339562853336,SHORT,0,,LONG
1,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-02-17,17.02.2009,089741,CME,0,89,16511,15032,13858,325,0,0,0,287,676,0,474,158,0,16118,15017,393,1494,758.0,675.0,444.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,0.0,1000.0,729.0,-242.0,29.0,100,91.0,83.9,2.0,0.0,0.0,0.0,1.7,4.1,0.0,2.9,1.0,0.0,97.6,91.0,2.4,9.0,21,10.0,5.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.0,9.0,76.4,82.8,92.2,90.0,74.4,82.8,90.2,89.0,"(CONTRACTS OF RUB 2,500,000)",F15,FutOnly,-389,-0.403946002077,LONG,1174,0.0406368985808,SHORT,0,,LONG
2,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-02-24,24.02.2009,089741,CME,0,89,16871,15398,14173,327,0,0,0,287,676,0,474,158,0,16486,15334,385,1537,360.0,366.0,315.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,317.0,-8.0,43.0,100,91.3,84.0,1.9,0.0,0.0,0.0,1.7,4.0,0.0,2.8,0.9,0.0,97.7,90.9,2.3,9.1,21,10.0,5.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,14.0,9.0,76.7,82.9,92.4,90.0,74.8,82.9,90.4,89.0,"(CONTRACTS OF RUB 2,500,000)",F15,FutOnly,-389,-0.403946002077,LONG,1225,0.0414257211457,SHORT,0,,LONG
3,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-03-03,03.03.2009,089741,CME,0,89,17989,16531,15211,327,0,0,0,287,676,0,474,158,0,17619,16372,370,1617,1118.0,1133.0,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.0,1038.0,-15.0,80.0,100,91.9,84.6,1.8,0.0,0.0,0.0,1.6,3.8,0.0,2.6,0.9,0.0,97.9,91.0,2.1,9.0,21,10.0,5.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,14.0,9.0,77.1,83.5,91.9,90.1,75.3,83.5,90.1,89.2,"(CONTRACTS OF RUB 2,500,000)",F15,FutOnly,-389,-0.403946002077,LONG,1320,0.0415852813307,SHORT,0,,LONG
4,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-03-10,10.03.2009,089741,CME,0,89,20390,18838,18584,327,0,0,0,357,676,44,474,158,7,20047,19796,343,594,2401.0,2307.0,3373.0,0.0,0.0,0.0,0.0,70.0,0.0,44.0,0.0,0.0,7.0,2428.0,3424.0,-27.0,-1023.0,100,92.4,91.1,1.6,0.0,0.0,0.0,1.8,3.3,0.2,2.3,0.8,0.0,98.3,97.1,1.7,2.9,22,9.0,6.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,14.0,12.0,81.4,88.7,93.0,95.1,79.8,88.7,91.5,94.5,"(CONTRACTS OF RUB 2,500,000)",F15,FutOnly,-319,-0.30880929332,LONG,254,0.0067874512319,SHORT,0,,LONG
5,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-03-31,31.03.2009,089741,CME,0,89,10781,8923,9261,43,0,0,0,1269,618,241,0,165,0,10476,10328,305,453,-9609.0,-9915.0,-9323.0,-284.0,0.0,0.0,0.0,912.0,-58.0,197.0,-474.0,7.0,-7.0,-9571.0,-9468.0,-38.0,-141.0,100,82.8,85.9,0.4,0.0,0.0,0.0,11.8,5.7,2.2,0.0,1.5,0.0,97.2,95.8,2.8,4.2,21,8.0,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,12.0,12.0,74.5,82.9,91.1,92.2,74.1,82.7,90.7,90.5,"(CONTRACTS OF RUB 2,500,000)",F15,FutOnly,651,0.344992050874,SHORT,-338,-0.0185877694677,LONG,0,,LONG
6,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-04-07,07.04.2009,089741,CME,0,89,10623,8592,8924,144,0,0,0,1320,611,262,0,165,0,10318,10106,305,517,-158.0,-331.0,-337.0,101.0,0.0,0.0,0.0,51.0,-7.0,21.0,0.0,0.0,0.0,-158.0,-222.0,0.0,64.0,100,80.9,84.0,1.4,0.0,0.0,0.0,12.4,5.8,2.5,0.0,1.6,0.0,97.1,95.1,2.9,4.9,21,9.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,13.0,12.0,72.0,82.3,88.9,91.8,72.0,82.2,88.9,90.0,"(CONTRACTS OF RUB 2,500,000)",F15,FutOnly,709,0.367167270844,SHORT,-332,-0.0189540991094,LONG,0,,LONG
7,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-04-14,14.04.2009,089741,CME,0,89,11672,9301,9637,150,0,0,0,1539,964,231,145,256,0,11366,11238,306,434,1049.0,709.0,713.0,6.0,0.0,0.0,0.0,219.0,353.0,-31.0,145.0,91.0,0.0,1048.0,1132.0,1.0,-83.0,100,79.7,82.6,1.3,0.0,0.0,0.0,13.2,8.3,2.0,1.2,2.2,0.0,97.4,96.3,2.6,3.7,24,8.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,,0.0,15.0,12.0,72.4,79.5,88.0,90.2,72.4,79.5,87.8,89.0,"(CONTRACTS OF RUB 2,500,000)",F15,FutOnly,575,0.229724330803,SHORT,-336,-0.017742105819,LONG,0,,LONG
8,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-04-21,21.04.2009,089741,CME,0,89,11480,8132,8829,150,0,0,0,2390,1416,416,145,256,0,11233,11067,247,413,-192.0,-1169.0,-808.0,0.0,0.0,0.0,0.0,851.0,452.0,185.0,0.0,0.0,0.0,-133.0,-171.0,-59.0,-21.0,100,70.8,76.9,1.3,0.0,0.0,0.0,20.8,12.3,3.6,1.3,2.2,0.0,97.8,96.4,2.2,3.6,25,8.0,7.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,,0.0,15.0,13.0,67.2,73.4,87.5,85.4,67.2,71.7,87.5,83.0,"(CONTRACTS OF RUB 2,500,000)",F15,FutOnly,974,0.255911718339,SHORT,-697,-0.0410942751017,LONG,0,,LONG
9,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-04-28,28.04.2009,089741,CME,0,89,13131,9341,10148,151,0,0,0,2762,1801,391,145,256,0,12790,12747,341,384,1651.0,1209.0,1319.0,1.0,0.0,0.0,0.0,372.0,385.0,-25.0,0.0,0.0,0.0,1557.0,1680.0,94.0,-29.0,100,71.1,77.3,1.1,0.0,0.0,0.0,21.0,13.7,3.0,1.1,1.9,0.0,97.4,97.1,2.6,2.9,25,8.0,7.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,,0.0,15.0,13.0,67.1,75.4,88.6,86.8,67.1,74.1,88.6,85.3,"(CONTRACTS OF RUB 2,500,000)",F15,FutOnly,961,0.210607056761,SHORT,-807,-0.0414079737288,LONG,0,,LONG
